Week,spx
2004-01-10,76
2004-01-17,53
2004-01-24,71
2004-01-31,80
2004-02-07,49
2004-02-14,63
2004-02-21,60
2004-02-28,52
2004-03-06,56
2004-03-13,89
2004-03-20,64
2004-03-27,55
2004-04-03,83
2004-04-10,84
2004-04-17,49
2004-04-24,55
2004-05-01,55
2004-05-08,90
2004-05-15,56
2004-05-22,63
2004-05-29,38
2004-06-05,82
2004-06-12,100
2004-06-19,83
2004-06-26,70
2004-07-03,80
2004-07-10,62
2004-07-17,75
2004-07-24,54
2004-07-31,78
2004-08-07,98
2004-08-14,43
2004-08-21,59
2004-08-28,64
2004-09-04,66
2004-09-11,80
2004-09-18,59
2004-09-25,58
2004-10-02,58
2004-10-09,58
2004-10-16,67
2004-10-23,84
2004-10-30,65
2004-11-06,51
2004-11-13,47
2004-11-20,91
2004-11-27,50
2004-12-04,71
2004-12-11,81
2004-12-18,67
2004-12-25,57
2005-01-01,74
2005-01-08,64
2005-01-15,66
2005-01-22,80
2005-01-29,62
2005-02-05,52
2005-02-12,47
2005-02-19,71
2005-02-26,61
2005-03-05,65
2005-03-12,68
2005-03-19,74
2005-03-26,56
2005-04-02,57
2005-04-09,79
2005-04-16,80
2005-04-23,44
2005-04-30,83
2005-05-07,70
2005-05-14,58
2005-05-21,53
2005-05-28,64
2005-06-04,41
2005-06-11,77
2005-06-18,60
2005-06-25,78
2005-07-02,54
2005-07-09,59
2005-07-16,62
2005-07-23,63
2005-07-30,75
2005-08-06,69
2005-08-13,46
2005-08-20,64
2005-08-27,45
2005-09-03,61
2005-09-10,67
2005-09-17,44
2005-09-24,65
2005-10-01,73
2005-10-08,76
2005-10-15,47
2005-10-22,60
2005-10-29,54
2005-11-05,44
2005-11-12,53
2005-11-19,59
2005-11-26,44
2005-12-03,47
2005-12-10,56
2005-12-17,50
2005-12-24,57
2005-12-31,75
2006-01-07,59
2006-01-14,62
2006-01-21,52
2006-01-28,64
2006-02-04,72
2006-02-11,54
2006-02-18,61
2006-02-25,55
2006-03-04,46
2006-03-11,64
2006-03-18,61
2006-03-25,53
2006-04-01,54
2006-04-08,52
2006-04-15,77
2006-04-22,72
2006-04-29,51
2006-05-06,49
2006-05-13,56
2006-05-20,69
2006-05-27,64
2006-06-03,59
2006-06-10,55
2006-06-17,47
2006-06-24,87
2006-07-01,59
2006-07-08,44
2006-07-15,48
2006-07-22,61
2006-07-29,60
2006-08-05,74
2006-08-12,73
2006-08-19,81
2006-08-26,57
2006-09-02,51
2006-09-09,57
2006-09-16,72
2006-09-23,67
2006-09-30,70
2006-10-07,60
2006-10-14,55
2006-10-21,65
2006-10-28,47
2006-11-04,45
2006-11-11,51
2006-11-18,55
2006-11-25,41
2006-12-02,55
2006-12-09,49
2006-12-16,65
2006-12-23,44
2006-12-30,56
2007-01-06,52
2007-01-13,53
2007-01-20,48
2007-01-27,45
2007-02-03,61
2007-02-10,52
2007-02-17,54
2007-02-24,59
2007-03-03,56
2007-03-10,61
2007-03-17,45
2007-03-24,58
2007-03-31,50
2007-04-07,62
2007-04-14,63
2007-04-21,45
2007-04-28,56
2007-05-05,64
2007-05-12,58
2007-05-19,69
2007-05-26,55
2007-06-02,56
2007-06-09,68
2007-06-16,58
2007-06-23,69
2007-06-30,68
2007-07-07,62
2007-07-14,51
2007-07-21,61
2007-07-28,75
2007-08-04,74
2007-08-11,83
2007-08-18,66
2007-08-25,70
2007-09-01,77
2007-09-08,52
2007-09-15,59
2007-09-22,54
2007-09-29,67
2007-10-06,51
2007-10-13,66
2007-10-20,61
2007-10-27,76
2007-11-03,68
2007-11-10,79
2007-11-17,46
2007-11-24,50
2007-12-01,74
2007-12-08,72
2007-12-15,56
2007-12-22,54
2007-12-29,56
