Week,banking
2004-01-10,20
2004-01-17,20
2004-01-24,18
2004-01-31,20
2004-02-07,21
2004-02-14,19
2004-02-21,20
2004-02-28,19
2004-03-06,19
2004-03-13,18
2004-03-20,20
2004-03-27,17
2004-04-03,19
2004-04-10,20
2004-04-17,20
2004-04-24,18
2004-05-01,20
2004-05-08,20
2004-05-15,19
2004-05-22,19
2004-05-29,20
2004-06-05,20
2004-06-12,20
2004-06-19,21
2004-06-26,20
2004-07-03,22
2004-07-10,19
2004-07-17,20
2004-07-24,21
2004-07-31,21
2004-08-07,21
2004-08-14,21
2004-08-21,20
2004-08-28,19
2004-09-04,20
2004-09-11,19
2004-09-18,19
2004-09-25,20
2004-10-02,20
2004-10-09,21
2004-10-16,20
2004-10-23,19
2004-10-30,20
2004-11-06,19
2004-11-13,19
2004-11-20,20
2004-11-27,17
2004-12-04,20
2004-12-11,19
2004-12-18,18
2004-12-25,19
2005-01-01,19
2005-01-08,22
2005-01-15,20
2005-01-22,20
2005-01-29,19
2005-02-05,20
2005-02-12,20
2005-02-19,19
2005-02-26,20
2005-03-05,20
2005-03-12,20
2005-03-19,19
2005-03-26,18
2005-04-02,20
2005-04-09,17
2005-04-16,20
2005-04-23,20
2005-04-30,19
2005-05-07,18
2005-05-14,19
2005-05-21,18
2005-05-28,19
2005-06-04,19
2005-06-11,19
2005-06-18,19
2005-06-25,20
2005-07-02,20
2005-07-09,21
2005-07-16,20
2005-07-23,20
2005-07-30,20
2005-08-06,21
2005-08-13,18
2005-08-20,19
2005-08-27,19
2005-09-03,19
2005-09-10,19
2005-09-17,17
2005-09-24,19
2005-10-01,21
2005-10-08,20
2005-10-15,19
2005-10-22,19
2005-10-29,19
2005-11-05,18
2005-11-12,18
2005-11-19,19
2005-11-26,17
2005-12-03,20
2005-12-10,18
2005-12-17,18
2005-12-24,18
2005-12-31,20
2006-01-07,19
2006-01-14,20
2006-01-21,20
2006-01-28,19
2006-02-04,21
2006-02-11,20
2006-02-18,20
2006-02-25,20
2006-03-04,20
2006-03-11,18
2006-03-18,19
2006-03-25,19
2006-04-01,19
2006-04-08,19
2006-04-15,21
2006-04-22,18
2006-04-29,20
2006-05-06,20
2006-05-13,19
2006-05-20,19
2006-05-27,20
2006-06-03,19
2006-06-10,20
2006-06-17,19
2006-06-24,19
2006-07-01,21
2006-07-08,21
2006-07-15,20
2006-07-22,21
2006-07-29,21
2006-08-05,20
2006-08-12,20
2006-08-19,21
2006-08-26,20
2006-09-02,20
2006-09-09,19
2006-09-16,21
2006-09-23,21
2006-09-30,21
2006-10-07,22
2006-10-14,21
2006-10-21,21
2006-10-28,22
2006-11-04,22
2006-11-11,21
2006-11-18,20
2006-11-25,19
2006-12-02,21
2006-12-09,20
2006-12-16,21
2006-12-23,22
2006-12-30,22
2007-01-06,22
2007-01-13,22
2007-01-20,22
2007-01-27,23
2007-02-03,24
2007-02-10,22
2007-02-17,22
2007-02-24,23
2007-03-03,23
2007-03-10,24
2007-03-17,22
2007-03-24,22
2007-03-31,24
2007-04-07,24
2007-04-14,23
2007-04-21,23
2007-04-28,24
2007-05-05,23
2007-05-12,23
2007-05-19,24
2007-05-26,23
2007-06-02,24
2007-06-09,24
2007-06-16,25
2007-06-23,25
2007-06-30,25
2007-07-07,25
2007-07-14,26
2007-07-21,25
2007-07-28,25
2007-08-04,26
2007-08-11,26
2007-08-18,26
2007-08-25,26
2007-09-01,25
2007-09-08,26
2007-09-15,26
2007-09-22,26
2007-09-29,25
2007-10-06,27
2007-10-13,25
2007-10-20,24
2007-10-27,24
2007-11-03,26
2007-11-10,26
2007-11-17,26
2007-11-24,24
2007-12-01,27
2007-12-08,26
2007-12-15,27
2007-12-22,26
2007-12-29,27
2008-01-05,27
2008-01-12,27
2008-01-19,27
2008-01-26,26
2008-02-02,27
2008-02-09,28
2008-02-16,27
2008-02-23,27
2008-03-01,27
2008-03-08,27
2008-03-15,27
2008-03-22,28
2008-03-29,26
2008-04-05,28
2008-04-12,27
2008-04-19,27
2008-04-26,25
2008-05-03,31
2008-05-10,29
2008-05-17,28
2008-05-24,27
2008-05-31,28
2008-06-07,28
2008-06-14,30
2008-06-21,31
2008-06-28,32
2008-07-05,33
2008-07-12,33
2008-07-19,36
2008-07-26,34
2008-08-02,35
2008-08-09,34
2008-08-16,33
2008-08-23,35
2008-08-30,39
2008-09-06,43
2008-09-13,44
2008-09-20,50
2008-09-27,52
2008-10-04,52
2008-10-11,47
2008-10-18,48
