Week,bonds
2004-01-10,30
2004-01-17,29
2004-01-24,28
2004-01-31,25
2004-02-07,25
2004-02-14,27
2004-02-21,26
2004-02-28,27
2004-03-06,31
2004-03-13,30
2004-03-20,27
2004-03-27,25
2004-04-03,26
2004-04-10,29
2004-04-17,34
2004-04-24,33
2004-05-01,30
2004-05-08,35
2004-05-15,29
2004-05-22,25
2004-05-29,27
2004-06-05,27
2004-06-12,26
2004-06-19,26
2004-06-26,28
2004-07-03,26
2004-07-10,28
2004-07-17,27
2004-07-24,26
2004-07-31,26
2004-08-07,25
2004-08-14,27
2004-08-21,25
2004-08-28,25
2004-09-04,26
2004-09-11,24
2004-09-18,30
2004-09-25,32
2004-10-02,29
2004-10-09,27
2004-10-16,26
2004-10-23,29
2004-10-30,27
2004-11-06,28
2004-11-13,26
2004-11-20,27
2004-11-27,26
2004-12-04,37
2004-12-11,38
2004-12-18,29
2004-12-25,26
2005-01-01,27
2005-01-08,28
2005-01-15,27
2005-01-22,26
2005-01-29,25
2005-02-05,28
2005-02-12,26
2005-02-19,30
2005-02-26,30
2005-03-05,30
2005-03-12,26
2005-03-19,25
2005-03-26,35
2005-04-02,27
2005-04-09,25
2005-04-16,26
2005-04-23,26
2005-04-30,26
2005-05-07,33
2005-05-14,28
2005-05-21,28
2005-05-28,24
2005-06-04,23
2005-06-11,25
2005-06-18,21
2005-06-25,24
2005-07-02,21
2005-07-09,22
2005-07-16,25
2005-07-23,22
2005-07-30,22
2005-08-06,24
2005-08-13,23
2005-08-20,21
2005-08-27,22
2005-09-03,22
2005-09-10,23
2005-09-17,23
2005-09-24,24
2005-10-01,24
2005-10-08,23
2005-10-15,25
2005-10-22,22
2005-10-29,26
2005-11-05,29
2005-11-12,27
2005-11-19,26
2005-11-26,23
2005-12-03,25
2005-12-10,25
2005-12-17,26
2005-12-24,25
2005-12-31,26
2006-01-07,24
2006-01-14,25
2006-01-21,25
2006-01-28,26
2006-02-04,25
2006-02-11,24
2006-02-18,24
2006-02-25,26
2006-03-04,27
2006-03-11,40
2006-03-18,30
2006-03-25,27
2006-04-01,29
