Week,depression
2004-01-10,75
2004-01-17,75
2004-01-24,78
2004-01-31,81
2004-02-07,88
2004-02-14,86
2004-02-21,83
2004-02-28,91
2004-03-06,100
2004-03-13,85
2004-03-20,92
2004-03-27,94
2004-04-03,92
2004-04-10,89
2004-04-17,89
2004-04-24,100
2004-05-01,93
2004-05-08,86
2004-05-15,80
2004-05-22,78
2004-05-29,71
2004-06-05,69
2004-06-12,64
2004-06-19,56
2004-06-26,56
2004-07-03,54
2004-07-10,60
2004-07-17,56
2004-07-24,55
2004-07-31,56
2004-08-07,58
2004-08-14,56
2004-08-21,55
2004-08-28,58
2004-09-04,60
2004-09-11,67
2004-09-18,75
2004-09-25,75
2004-10-02,73
2004-10-09,78
2004-10-16,75
2004-10-23,77
2004-10-30,81
2004-11-06,84
2004-11-13,81
2004-11-20,91
2004-11-27,77
2004-12-04,88
2004-12-11,89
2004-12-18,77
2004-12-25,51
2005-01-01,49
2005-01-08,70
2005-01-15,71
2005-01-22,72
2005-01-29,75
2005-02-05,79
2005-02-12,81
2005-02-19,80
2005-02-26,77
2005-03-05,81
2005-03-12,83
2005-03-19,85
2005-03-26,80
2005-04-02,78
2005-04-09,79
2005-04-16,91
2005-04-23,87
2005-04-30,85
2005-05-07,89
2005-05-14,85
2005-05-21,80
2005-05-28,71
2005-06-04,62
2005-06-11,61
2005-06-18,59
2005-06-25,55
2005-07-02,56
2005-07-09,57
2005-07-16,63
2005-07-23,55
2005-07-30,50
2005-08-06,50
2005-08-13,53
2005-08-20,46
2005-08-27,52
2005-09-03,56
2005-09-10,56
2005-09-17,61
2005-09-24,65
2005-10-01,68
2005-10-08,70
2005-10-15,75
2005-10-22,78
2005-10-29,81
2005-11-05,79
2005-11-12,75
2005-11-19,85
2005-11-26,66
2005-12-03,82
2005-12-10,76
2005-12-17,73
2005-12-24,64
2005-12-31,57
2006-01-07,74
2006-01-14,75
2006-01-21,70
2006-01-28,74
2006-02-04,76
2006-02-11,76
2006-02-18,75
2006-02-25,74
2006-03-04,83
2006-03-11,79
2006-03-18,80
2006-03-25,79
2006-04-01,75
2006-04-08,83
2006-04-15,71
2006-04-22,73
2006-04-29,79
2006-05-06,75
2006-05-13,74
2006-05-20,68
2006-05-27,66
2006-06-03,60
2006-06-10,58
2006-06-17,52
2006-06-24,48
2006-07-01,44
2006-07-08,50
2006-07-15,47
2006-07-22,47
2006-07-29,48
2006-08-05,43
2006-08-12,46
2006-08-19,43
2006-08-26,50
2006-09-02,49
2006-09-09,52
2006-09-16,54
2006-09-23,58
2006-09-30,61
2006-10-07,64
2006-10-14,62
2006-10-21,61
2006-10-28,67
2006-11-04,67
2006-11-11,66
2006-11-18,68
2006-11-25,58
2006-12-02,66
2006-12-09,68
2006-12-16,65
2006-12-23,49
2006-12-30,44
2007-01-06,52
2007-01-13,58
2007-01-20,57
2007-01-27,63
2007-02-03,61
2007-02-10,59
2007-02-17,60
2007-02-24,62
2007-03-03,68
2007-03-10,67
2007-03-17,71
2007-03-24,67
2007-03-31,66
2007-04-07,57
2007-04-14,65
2007-04-21,67
2007-04-28,68
2007-05-05,67
2007-05-12,65
2007-05-19,60
2007-05-26,59
2007-06-02,54
2007-06-09,53
2007-06-16,48
2007-06-23,43
2007-06-30,43
2007-07-07,41
2007-07-14,45
2007-07-21,42
2007-07-28,44
2007-08-04,41
2007-08-11,42
2007-08-18,43
2007-08-25,42
2007-09-01,43
2007-09-08,49
2007-09-15,53
2007-09-22,55
2007-09-29,59
2007-10-06,59
2007-10-13,59
2007-10-20,60
2007-10-27,58
2007-11-03,62
2007-11-10,64
2007-11-17,64
2007-11-24,52
2007-12-01,65
2007-12-08,62
2007-12-15,60
2007-12-22,48
2007-12-29,39
2008-01-05,49
2008-01-12,56
2008-01-19,56
2008-01-26,57
2008-02-02,61
2008-02-09,60
2008-02-16,57
2008-02-23,60
2008-03-01,64
2008-03-08,62
2008-03-15,63
2008-03-22,65
2008-03-29,61
2008-04-05,65
2008-04-12,65
2008-04-19,65
2008-04-26,62
2008-05-03,63
2008-05-10,58
2008-05-17,56
2008-05-24,57
2008-05-31,53
2008-06-07,47
2008-06-14,44
2008-06-21,42
2008-06-28,42
2008-07-05,43
2008-07-12,43
2008-07-19,44
2008-07-26,42
2008-08-02,41
2008-08-09,39
2008-08-16,36
2008-08-23,39
2008-08-30,43
2008-09-06,46
2008-09-13,48
2008-09-20,67
2008-09-27,82
2008-10-04,91
2008-10-11,99
2008-10-18,73
2008-10-25,71
2008-11-01,67
2008-11-08,63
2008-11-15,75
2008-11-22,80
2008-11-29,62
2008-12-06,78
2008-12-13,73
2008-12-20,61
2008-12-27,45
2009-01-03,49
2009-01-10,63
2009-01-17,61
2009-01-24,62
2009-01-31,66
2009-02-07,71
2009-02-14,72
2009-02-21,70
2009-02-28,77
2009-03-07,88
2009-03-14,75
2009-03-21,66
2009-03-28,68
2009-04-04,70
2009-04-11,62
2009-04-18,64
2009-04-25,67
