Week,dividend
2004-01-10,53
2004-01-17,64
2004-01-24,56
2004-01-31,47
2004-02-07,65
2004-02-14,48
2004-02-21,56
2004-02-28,58
2004-03-06,50
2004-03-13,68
2004-03-20,56
2004-03-27,53
2004-04-03,63
2004-04-10,54
2004-04-17,47
2004-04-24,55
2004-05-01,49
2004-05-08,45
2004-05-15,47
2004-05-22,43
2004-05-29,49
2004-06-05,46
2004-06-12,38
2004-06-19,48
2004-06-26,50
2004-07-03,43
2004-07-10,38
2004-07-17,45
2004-07-24,64
2004-07-31,56
2004-08-07,65
2004-08-14,51
2004-08-21,57
2004-08-28,49
2004-09-04,46
2004-09-11,52
2004-09-18,63
2004-09-25,63
2004-10-02,56
2004-10-09,54
2004-10-16,52
2004-10-23,59
2004-10-30,62
2004-11-06,64
2004-11-13,89
2004-11-20,82
2004-11-27,64
2004-12-04,93
2004-12-11,76
2004-12-18,73
2004-12-25,63
2005-01-01,63
2005-01-08,69
2005-01-15,54
2005-01-22,64
2005-01-29,68
2005-02-05,68
2005-02-12,69
2005-02-19,61
2005-02-26,64
2005-03-05,64
2005-03-12,57
2005-03-19,69
2005-03-26,67
2005-04-02,69
2005-04-09,69
2005-04-16,71
2005-04-23,62
2005-04-30,55
2005-05-07,52
2005-05-14,47
2005-05-21,51
2005-05-28,59
2005-06-04,56
2005-06-11,49
2005-06-18,54
2005-06-25,58
2005-07-02,49
2005-07-09,53
2005-07-16,55
2005-07-23,49
2005-07-30,58
2005-08-06,58
2005-08-13,63
2005-08-20,49
2005-08-27,49
2005-09-03,48
2005-09-10,52
2005-09-17,53
2005-09-24,57
2005-10-01,56
2005-10-08,52
2005-10-15,51
2005-10-22,49
2005-10-29,54
2005-11-05,56
2005-11-12,50
2005-11-19,54
2005-11-26,49
2005-12-03,63
2005-12-10,68
2005-12-17,66
2005-12-24,62
2005-12-31,64
2006-01-07,67
2006-01-14,66
2006-01-21,59
2006-01-28,69
2006-02-04,60
2006-02-11,64
2006-02-18,59
2006-02-25,51
2006-03-04,59
2006-03-11,54
2006-03-18,64
2006-03-25,56
2006-04-01,64
2006-04-08,60
2006-04-15,67
2006-04-22,55
2006-04-29,55
2006-05-06,53
2006-05-13,51
2006-05-20,36
2006-05-27,41
2006-06-03,44
2006-06-10,46
2006-06-17,45
2006-06-24,45
2006-07-01,45
2006-07-08,42
2006-07-15,48
2006-07-22,45
2006-07-29,45
2006-08-05,51
2006-08-12,45
2006-08-19,51
2006-08-26,48
2006-09-02,46
2006-09-09,49
2006-09-16,53
2006-09-23,60
2006-09-30,58
2006-10-07,56
2006-10-14,49
2006-10-21,56
2006-10-28,53
2006-11-04,52
2006-11-11,49
2006-11-18,61
2006-11-25,47
2006-12-02,54
2006-12-09,60
2006-12-16,63
2006-12-23,62
2006-12-30,60
2007-01-06,58
2007-01-13,55
2007-01-20,55
2007-01-27,54
2007-02-03,65
2007-02-10,56
2007-02-17,49
2007-02-24,53
2007-03-03,54
2007-03-10,64
2007-03-17,59
2007-03-24,75
2007-03-31,67
2007-04-07,58
2007-04-14,60
2007-04-21,55
2007-04-28,55
2007-05-05,51
2007-05-12,55
2007-05-19,47
2007-05-26,50
2007-06-02,44
2007-06-09,48
2007-06-16,49
2007-06-23,51
2007-06-30,50
2007-07-07,48
2007-07-14,47
2007-07-21,47
2007-07-28,44
2007-08-04,47
2007-08-11,44
2007-08-18,45
2007-08-25,45
2007-09-01,39
2007-09-08,48
2007-09-15,50
2007-09-22,59
2007-09-29,49
2007-10-06,59
2007-10-13,57
2007-10-20,47
2007-10-27,49
2007-11-03,53
2007-11-10,49
2007-11-17,43
2007-11-24,43
2007-12-01,58
2007-12-08,62
2007-12-15,64
2007-12-22,64
2007-12-29,58
2008-01-05,60
2008-01-12,52
2008-01-19,54
2008-01-26,55
2008-02-02,60
2008-02-09,57
2008-02-16,56
2008-02-23,56
2008-03-01,61
2008-03-08,61
2008-03-15,57
2008-03-22,55
2008-03-29,67
2008-04-05,68
2008-04-12,66
2008-04-19,63
2008-04-26,54
2008-05-03,58
2008-05-10,51
2008-05-17,53
2008-05-24,49
2008-05-31,47
2008-06-07,50
2008-06-14,48
2008-06-21,49
2008-06-28,52
2008-07-05,44
2008-07-12,44
2008-07-19,52
2008-07-26,53
2008-08-02,45
2008-08-09,47
2008-08-16,46
2008-08-23,45
2008-08-30,49
2008-09-06,56
2008-09-13,59
2008-09-20,54
2008-09-27,56
2008-10-04,63
2008-10-11,78
2008-10-18,83
2008-10-25,79
2008-11-01,78
2008-11-08,65
2008-11-15,67
2008-11-22,77
2008-11-29,69
2008-12-06,75
2008-12-13,70
2008-12-20,69
2008-12-27,58
2009-01-03,68
2009-01-10,70
2009-01-17,67
2009-01-24,65
2009-01-31,71
2009-02-07,72
2009-02-14,66
2009-02-21,69
2009-02-28,77
2009-03-07,79
2009-03-14,76
2009-03-21,71
2009-03-28,71
2009-04-04,71
2009-04-11,66
2009-04-18,70
2009-04-25,65
2009-05-02,63
2009-05-09,62
2009-05-16,54
2009-05-23,56
2009-05-30,44
2009-06-06,53
2009-06-13,55
2009-06-20,49
2009-06-27,48
2009-07-04,49
2009-07-11,49
2009-07-18,48
2009-07-25,51
2009-08-01,51
2009-08-08,50
2009-08-15,46
2009-08-22,44
2009-08-29,49
2009-09-05,50
2009-09-12,55
2009-09-19,58
2009-09-26,59
2009-10-03,58
2009-10-10,61
2009-10-17,55
2009-10-24,53
2009-10-31,50
2009-11-07,54
2009-11-14,57
2009-11-21,56
2009-11-28,56
2009-12-05,64
2009-12-12,65
2009-12-19,61
2009-12-26,55
2010-01-02,57
2010-01-09,61
2010-01-16,63
2010-01-23,58
2010-01-30,61
2010-02-06,62
2010-02-13,64
2010-02-20,62
2010-02-27,67
2010-03-06,77
2010-03-13,78
2010-03-20,71
2010-03-27,76
2010-04-03,74
2010-04-10,68
2010-04-17,77
2010-04-24,70
2010-05-01,69
2010-05-08,68
2010-05-15,66
2010-05-22,62
2010-05-29,58
2010-06-05,54
2010-06-12,65
2010-06-19,73
2010-06-26,58
2010-07-03,60
2010-07-10,51
2010-07-17,55
2010-07-24,56
2010-07-31,61
2010-08-07,60
2010-08-14,51
2010-08-21,51
2010-08-28,53
2010-09-04,59
2010-09-11,56
2010-09-18,67
2010-09-25,69
2010-10-02,63
2010-10-09,68
2010-10-16,61
2010-10-23,60
2010-10-30,56
2010-11-06,64
2010-11-13,62
2010-11-20,61
2010-11-27,49
2010-12-04,62
2010-12-11,75
2010-12-18,75
2010-12-25,56
2011-01-01,67
2011-01-08,76
2011-01-15,70
2011-01-22,67
2011-01-29,74
2011-02-05,77
2011-02-12,75
2011-02-19,76
2011-02-26,72
2011-03-05,78
2011-03-12,76
2011-03-19,76
2011-03-26,82
2011-04-02,82
2011-04-09,73
2011-04-16,74
2011-04-23,73
2011-04-30,74
2011-05-07,70
2011-05-14,65
2011-05-21,59
2011-05-28,55
2011-06-04,55
2011-06-11,58
2011-06-18,58
2011-06-25,57
2011-07-02,63
2011-07-09,58
2011-07-16,58
2011-07-23,59
2011-07-30,58
2011-08-06,65
2011-08-13,88
2011-08-20,73
2011-08-27,68
2011-09-03,63
2011-09-10,59
2011-09-17,78
2011-09-24,78
2011-10-01,71
2011-10-08,69
2011-10-15,68
2011-10-22,66
2011-10-29,72
2011-11-05,70
2011-11-12,66
2011-11-19,65
2011-11-26,54
2011-12-03,71
2011-12-10,78
2011-12-17,74
2011-12-24,69
2011-12-31,64
2012-01-07,70
2012-01-14,68
2012-01-21,72
2012-01-28,79
2012-02-04,84
2012-02-11,84
2012-02-18,84
2012-02-25,83
2012-03-03,89
2012-03-10,79
2012-03-17,82
2012-03-24,100
2012-03-31,85
2012-04-07,76
2012-04-14,76
2012-04-21,74
2012-04-28,77
2012-05-05,78
2012-05-12,67
2012-05-19,65
2012-05-26,64
2012-06-02,58
2012-06-09,68
2012-06-16,65
2012-06-23,64
2012-06-30,60
2012-07-07,59
2012-07-14,65
2012-07-21,61
2012-07-28,68
2012-08-04,67
2012-08-11,69
2012-08-18,73
2012-08-25,64
2012-09-01,61
2012-09-08,65
2012-09-15,71
2012-09-22,78
2012-09-29,68
2012-10-06,69
2012-10-13,59
2012-10-20,64
2012-10-27,64
2012-11-03,54
2012-11-10,66
2012-11-17,73
2012-11-24,58
2012-12-01,85
2012-12-08,94
2012-12-15,89
2012-12-22,73
2012-12-29,57
2013-01-05,75
2013-01-12,74
2013-01-19,73
2013-01-26,73
2013-02-02,83
2013-02-09,79
2013-02-16,81
2013-02-23,74
2013-03-02,77
2013-03-09,90
2013-03-16,85
2013-03-23,85
2013-03-30,80
2013-04-06,78
2013-04-13,80
2013-04-20,68
2013-04-27,83
2013-05-04,85
2013-05-11,80
2013-05-18,73
2013-05-25,66
2013-06-01,61
2013-06-08,63
2013-06-15,60
2013-06-22,59
2013-06-29,58
2013-07-06,51
2013-07-13,60
2013-07-20,58
2013-07-27,60
2013-08-03,65
2013-08-10,62
2013-08-17,63
2013-08-24,55
2013-08-31,54
2013-09-07,57
2013-09-14,66
2013-09-21,70
2013-09-28,66
2013-10-05,67
2013-10-12,65
2013-10-19,69
2013-10-26,74
2013-11-02,72
2013-11-09,76
2013-11-16,73
2013-11-23,71
2013-11-30,60
2013-12-07,74
2013-12-14,78
2013-12-21,77
2013-12-28,61
2014-01-04,70
