Week,earnings
2004-01-10,44
2004-01-17,54
2004-01-24,64
2004-01-31,53
2004-02-07,49
2004-02-14,53
2004-02-21,45
2004-02-28,45
2004-03-06,51
2004-03-13,42
2004-03-20,45
2004-03-27,40
2004-04-03,50
2004-04-10,47
2004-04-17,51
2004-04-24,62
2004-05-01,53
2004-05-08,45
2004-05-15,45
2004-05-22,39
2004-05-29,30
2004-06-05,35
2004-06-12,33
2004-06-19,32
2004-06-26,38
2004-07-03,35
2004-07-10,43
2004-07-17,55
2004-07-24,66
2004-07-31,52
2004-08-07,39
2004-08-14,43
2004-08-21,36
2004-08-28,30
2004-09-04,28
2004-09-11,36
2004-09-18,39
2004-09-25,37
2004-10-02,39
2004-10-09,43
2004-10-16,48
2004-10-23,56
2004-10-30,47
2004-11-06,48
2004-11-13,40
2004-11-20,47
2004-11-27,34
2004-12-04,47
2004-12-11,49
2004-12-18,42
2004-12-25,29
2005-01-01,25
2005-01-08,38
2005-01-15,45
2005-01-22,57
2005-01-29,61
2005-02-05,54
2005-02-12,51
2005-02-19,53
2005-02-26,41
2005-03-05,45
2005-03-12,43
2005-03-19,43
2005-03-26,40
2005-04-02,41
2005-04-09,46
2005-04-16,60
2005-04-23,67
2005-04-30,61
2005-05-07,54
2005-05-14,47
2005-05-21,42
2005-05-28,43
2005-06-04,38
2005-06-11,34
2005-06-18,35
2005-06-25,38
2005-07-02,35
2005-07-09,41
2005-07-16,55
2005-07-23,65
2005-07-30,63
2005-08-06,53
2005-08-13,40
2005-08-20,43
2005-08-27,32
2005-09-03,24
2005-09-10,33
2005-09-17,39
2005-09-24,37
2005-10-01,41
2005-10-08,43
2005-10-15,49
2005-10-22,62
2005-10-29,61
2005-11-05,53
2005-11-12,45
2005-11-19,44
2005-11-26,37
2005-12-03,39
2005-12-10,41
2005-12-17,37
2005-12-24,30
2005-12-31,31
2006-01-07,42
2006-01-14,43
2006-01-21,62
2006-01-28,68
2006-02-04,73
2006-02-11,52
2006-02-18,50
2006-02-25,43
2006-03-04,45
2006-03-11,42
2006-03-18,44
2006-03-25,44
2006-04-01,46
2006-04-08,44
2006-04-15,54
2006-04-22,73
2006-04-29,68
2006-05-06,56
2006-05-13,53
2006-05-20,38
2006-05-27,37
2006-06-03,34
2006-06-10,31
2006-06-17,33
2006-06-24,31
2006-07-01,36
2006-07-08,38
2006-07-15,46
2006-07-22,58
2006-07-29,67
2006-08-05,49
2006-08-12,43
2006-08-19,35
2006-08-26,34
2006-09-02,35
2006-09-09,35
2006-09-16,39
2006-09-23,45
2006-09-30,40
2006-10-07,41
2006-10-14,52
2006-10-21,67
2006-10-28,67
2006-11-04,54
2006-11-11,45
2006-11-18,47
2006-11-25,36
2006-12-02,35
2006-12-09,41
2006-12-16,39
2006-12-23,31
2006-12-30,24
2007-01-06,30
2007-01-13,44
2007-01-20,54
2007-01-27,64
2007-02-03,58
2007-02-10,50
2007-02-17,47
2007-02-24,44
2007-03-03,41
2007-03-10,41
2007-03-17,57
2007-03-24,64
2007-03-31,41
2007-04-07,43
2007-04-14,59
2007-04-21,75
2007-04-28,74
2007-05-05,59
2007-05-12,52
2007-05-19,41
2007-05-26,38
2007-06-02,36
2007-06-09,32
2007-06-16,34
2007-06-23,32
2007-06-30,35
2007-07-07,35
2007-07-14,48
2007-07-21,66
2007-07-28,76
2007-08-04,55
2007-08-11,45
2007-08-18,39
2007-08-25,35
2007-09-01,32
2007-09-08,37
2007-09-15,41
2007-09-22,44
2007-09-29,48
2007-10-06,47
2007-10-13,58
2007-10-20,70
2007-10-27,72
2007-11-03,66
2007-11-10,55
2007-11-17,49
2007-11-24,38
2007-12-01,41
2007-12-08,45
2007-12-15,40
2007-12-22,44
2007-12-29,27
2008-01-05,33
2008-01-12,44
2008-01-19,59
2008-01-26,68
2008-02-02,64
2008-02-09,56
2008-02-16,55
2008-02-23,46
2008-03-01,51
2008-03-08,47
2008-03-15,42
2008-03-22,45
2008-03-29,44
2008-04-05,47
2008-04-12,59
2008-04-19,90
2008-04-26,90
2008-05-03,66
2008-05-10,60
2008-05-17,49
2008-05-24,41
2008-05-31,36
2008-06-07,40
2008-06-14,36
2008-06-21,53
2008-06-28,42
2008-07-05,38
2008-07-12,50
2008-07-19,73
2008-07-26,81
2008-08-02,61
2008-08-09,51
2008-08-16,41
2008-08-23,34
2008-08-30,33
2008-09-06,35
2008-09-13,38
2008-09-20,43
2008-09-27,42
2008-10-04,40
2008-10-11,52
2008-10-18,67
2008-10-25,76
2008-11-01,62
2008-11-08,52
2008-11-15,53
2008-11-22,47
2008-11-29,37
2008-12-06,44
2008-12-13,42
2008-12-20,36
2008-12-27,23
2009-01-03,28
2009-01-10,41
2009-01-17,53
2009-01-24,66
2009-01-31,67
2009-02-07,65
2009-02-14,55
2009-02-21,46
2009-02-28,55
2009-03-07,51
2009-03-14,42
2009-03-21,43
2009-03-28,40
2009-04-04,46
2009-04-11,66
2009-04-18,100
2009-04-25,80
2009-05-02,60
2009-05-09,60
2009-05-16,43
2009-05-23,37
2009-05-30,35
2009-06-06,33
2009-06-13,33
2009-06-20,35
2009-06-27,35
2009-07-04,33
2009-07-11,46
2009-07-18,78
2009-07-25,80
2009-08-01,59
2009-08-08,54
2009-08-15,42
2009-08-22,39
2009-08-29,35
2009-09-05,33
2009-09-12,35
2009-09-19,45
2009-09-26,44
2009-10-03,42
2009-10-10,51
2009-10-17,79
2009-10-24,78
2009-10-31,61
2009-11-07,57
2009-11-14,51
2009-11-21,50
2009-11-28,37
2009-12-05,42
2009-12-12,44
2009-12-19,39
2009-12-26,26
2010-01-02,28
2010-01-09,40
2010-01-16,58
2010-01-23,67
2010-01-30,64
2010-02-06,60
