Week,economics
2004-01-10,81
2004-01-17,94
2004-01-24,94
2004-01-31,88
2004-02-07,85
2004-02-14,91
2004-02-21,87
2004-02-28,96
2004-03-06,97
2004-03-13,84
2004-03-20,78
2004-03-27,84
2004-04-03,90
2004-04-10,89
2004-04-17,88
2004-04-24,95
2004-05-01,92
2004-05-08,83
2004-05-15,83
2004-05-22,79
2004-05-29,67
2004-06-05,62
2004-06-12,74
2004-06-19,55
2004-06-26,57
2004-07-03,58
2004-07-10,59
2004-07-17,72
2004-07-24,70
2004-07-31,60
2004-08-07,57
2004-08-14,56
2004-08-21,65
2004-08-28,71
2004-09-04,70
2004-09-11,73
2004-09-18,87
2004-09-25,94
2004-10-02,91
2004-10-09,98
2004-10-16,100
2004-10-23,85
2004-10-30,88
2004-11-06,86
2004-11-13,88
2004-11-20,98
2004-11-27,76
2004-12-04,86
2004-12-11,90
2004-12-18,84
2004-12-25,54
2005-01-01,40
2005-01-08,66
2005-01-15,74
2005-01-22,79
2005-01-29,81
2005-02-05,79
2005-02-12,73
2005-02-19,78
2005-02-26,79
2005-03-05,81
2005-03-12,75
2005-03-19,72
2005-03-26,72
2005-04-02,67
2005-04-09,72
2005-04-16,81
2005-04-23,79
2005-04-30,82
2005-05-07,79
2005-05-14,77
2005-05-21,67
2005-05-28,63
2005-06-04,54
2005-06-11,56
2005-06-18,51
2005-06-25,52
2005-07-02,50
2005-07-09,49
2005-07-16,51
2005-07-23,46
2005-07-30,53
2005-08-06,51
2005-08-13,49
2005-08-20,51
2005-08-27,53
2005-09-03,64
2005-09-10,71
2005-09-17,75
2005-09-24,78
2005-10-01,75
2005-10-08,78
2005-10-15,81
2005-10-22,73
2005-10-29,75
2005-11-05,74
2005-11-12,79
2005-11-19,81
2005-11-26,59
2005-12-03,75
2005-12-10,80
2005-12-17,73
2005-12-24,50
2005-12-31,39
2006-01-07,51
2006-01-14,67
2006-01-21,63
2006-01-28,66
2006-02-04,74
2006-02-11,74
2006-02-18,70
2006-02-25,66
2006-03-04,72
2006-03-11,64
2006-03-18,61
2006-03-25,63
2006-04-01,60
2006-04-08,69
2006-04-15,67
2006-04-22,64
2006-04-29,68
2006-05-06,72
2006-05-13,67
2006-05-20,56
2006-05-27,56
2006-06-03,53
2006-06-10,51
2006-06-17,41
2006-06-24,41
2006-07-01,39
2006-07-08,41
2006-07-15,41
2006-07-22,42
2006-07-29,39
2006-08-05,38
2006-08-12,36
2006-08-19,40
2006-08-26,45
2006-09-02,56
2006-09-09,60
2006-09-16,62
2006-09-23,63
2006-09-30,66
2006-10-07,65
2006-10-14,72
2006-10-21,66
2006-10-28,63
2006-11-04,66
2006-11-11,59
2006-11-18,66
2006-11-25,52
2006-12-02,64
2006-12-09,64
2006-12-16,65
2006-12-23,48
2006-12-30,30
2007-01-06,45
2007-01-13,55
2007-01-20,57
2007-01-27,65
2007-02-03,63
2007-02-10,57
2007-02-17,55
2007-02-24,57
2007-03-03,57
2007-03-10,54
2007-03-17,51
2007-03-24,53
2007-03-31,54
2007-04-07,52
2007-04-14,53
2007-04-21,55
2007-04-28,56
2007-05-05,58
2007-05-12,58
2007-05-19,52
2007-05-26,46
2007-06-02,43
2007-06-09,46
2007-06-16,39
2007-06-23,35
2007-06-30,39
2007-07-07,35
2007-07-14,38
2007-07-21,37
2007-07-28,38
2007-08-04,36
2007-08-11,39
2007-08-18,39
2007-08-25,45
2007-09-01,52
2007-09-08,55
2007-09-15,62
2007-09-22,62
2007-09-29,61
2007-10-06,64
2007-10-13,63
2007-10-20,70
2007-10-27,61
2007-11-03,64
2007-11-10,63
2007-11-17,64
2007-11-24,52
2007-12-01,64
2007-12-08,62
2007-12-15,62
2007-12-22,47
2007-12-29,32
2008-01-05,38
2008-01-12,53
2008-01-19,58
2008-01-26,57
2008-02-02,62
2008-02-09,59
2008-02-16,55
2008-02-23,55
2008-03-01,59
2008-03-08,55
2008-03-15,54
2008-03-22,48
2008-03-29,52
2008-04-05,59
2008-04-12,60
2008-04-19,58
2008-04-26,54
2008-05-03,59
2008-05-10,56
2008-05-17,52
2008-05-24,47
2008-05-31,43
2008-06-07,39
2008-06-14,39
2008-06-21,38
2008-06-28,38
2008-07-05,33
2008-07-12,39
2008-07-19,34
2008-07-26,36
2008-08-02,37
2008-08-09,34
2008-08-16,33
2008-08-23,41
2008-08-30,51
2008-09-06,55
2008-09-13,55
2008-09-20,66
2008-09-27,65
2008-10-04,66
2008-10-11,71
2008-10-18,73
2008-10-25,65
2008-11-01,67
2008-11-08,58
