Week,gains
2004-01-10,71
2004-01-17,78
2004-01-24,77
2004-01-31,71
2004-02-07,74
2004-02-14,77
2004-02-21,85
2004-02-28,71
2004-03-06,88
2004-03-13,73
2004-03-20,78
2004-03-27,79
2004-04-03,97
2004-04-10,84
2004-04-17,74
2004-04-24,68
2004-05-01,75
2004-05-08,59
2004-05-15,64
2004-05-22,61
2004-05-29,71
2004-06-05,70
2004-06-12,62
2004-06-19,72
2004-06-26,70
2004-07-03,63
2004-07-10,70
2004-07-17,72
2004-07-24,72
2004-07-31,66
2004-08-07,63
2004-08-14,60
2004-08-21,69
2004-08-28,68
2004-09-04,60
2004-09-11,50
2004-09-18,54
2004-09-25,58
2004-10-02,56
2004-10-09,63
2004-10-16,71
2004-10-23,65
2004-10-30,55
2004-11-06,68
2004-11-13,79
2004-11-20,67
2004-11-27,70
2004-12-04,72
2004-12-11,68
2004-12-18,71
2004-12-25,51
2005-01-01,74
2005-01-08,66
2005-01-15,72
2005-01-22,71
2005-01-29,69
2005-02-05,73
2005-02-12,88
2005-02-19,84
2005-02-26,79
2005-03-05,76
2005-03-12,81
2005-03-19,79
2005-03-26,84
2005-04-02,78
2005-04-09,74
2005-04-16,99
2005-04-23,74
2005-04-30,73
2005-05-07,71
2005-05-14,76
2005-05-21,66
2005-05-28,71
2005-06-04,69
2005-06-11,73
2005-06-18,66
2005-06-25,71
2005-07-02,87
2005-07-09,72
2005-07-16,79
2005-07-23,86
2005-07-30,89
2005-08-06,88
2005-08-13,90
2005-08-20,75
2005-08-27,78
2005-09-03,75
2005-09-10,70
2005-09-17,64
2005-09-24,68
2005-10-01,67
2005-10-08,70
2005-10-15,78
2005-10-22,68
2005-10-29,67
2005-11-05,77
2005-11-12,73
2005-11-19,74
2005-11-26,71
2005-12-03,72
2005-12-10,73
2005-12-17,65
2005-12-24,66
2005-12-31,76
2006-01-07,76
2006-01-14,78
2006-01-21,79
2006-01-28,81
2006-02-04,85
2006-02-11,76
2006-02-18,83
2006-02-25,73
2006-03-04,83
2006-03-11,79
2006-03-18,87
2006-03-25,81
2006-04-01,84
2006-04-08,98
2006-04-15,100
2006-04-22,84
2006-04-29,68
2006-05-06,72
2006-05-13,79
2006-05-20,65
2006-05-27,59
2006-06-03,59
2006-06-10,59
2006-06-17,52
2006-06-24,62
2006-07-01,55
2006-07-08,57
2006-07-15,60
2006-07-22,59
2006-07-29,60
2006-08-05,57
2006-08-12,54
2006-08-19,60
2006-08-26,49
2006-09-02,51
2006-09-09,52
2006-09-16,60
2006-09-23,50
2006-09-30,52
