Week,happiness
2004-01-10,26
2004-01-17,25
2004-01-24,26
2004-01-31,24
2004-02-07,28
2004-02-14,29
2004-02-21,25
2004-02-28,32
2004-03-06,34
2004-03-13,24
2004-03-20,31
2004-03-27,27
2004-04-03,28
2004-04-10,31
2004-04-17,28
2004-04-24,29
2004-05-01,33
2004-05-08,30
2004-05-15,30
2004-05-22,28
2004-05-29,22
2004-06-05,25
2004-06-12,22
2004-06-19,21
2004-06-26,23
2004-07-03,24
2004-07-10,23
2004-07-17,24
2004-07-24,29
2004-07-31,21
2004-08-07,25
2004-08-14,24
2004-08-21,23
2004-08-28,23
2004-09-04,25
2004-09-11,27
2004-09-18,30
2004-09-25,26
2004-10-02,27
2004-10-09,27
2004-10-16,25
2004-10-23,28
2004-10-30,32
2004-11-06,30
2004-11-13,26
2004-11-20,34
2004-11-27,27
2004-12-04,32
2004-12-11,35
2004-12-18,34
2004-12-25,28
2005-01-01,20
2005-01-08,25
2005-01-15,29
2005-01-22,30
2005-01-29,27
2005-02-05,34
2005-02-12,28
2005-02-19,29
2005-02-26,36
2005-03-05,38
2005-03-12,26
2005-03-19,28
2005-03-26,30
2005-04-02,30
2005-04-09,25
2005-04-16,29
2005-04-23,29
2005-04-30,30
2005-05-07,31
2005-05-14,29
2005-05-21,25
2005-05-28,26
2005-06-04,24
2005-06-11,27
2005-06-18,26
2005-06-25,25
2005-07-02,26
2005-07-09,27
2005-07-16,25
2005-07-23,20
2005-07-30,25
2005-08-06,22
2005-08-13,26
2005-08-20,21
2005-08-27,25
2005-09-03,28
2005-09-10,28
2005-09-17,28
2005-09-24,29
2005-10-01,28
2005-10-08,30
2005-10-15,28
2005-10-22,30
2005-10-29,30
2005-11-05,33
2005-11-12,31
2005-11-19,28
2005-11-26,32
2005-12-03,33
2005-12-10,36
2005-12-17,29
2005-12-24,30
2005-12-31,25
2006-01-07,28
2006-01-14,30
2006-01-21,27
2006-01-28,31
2006-02-04,31
2006-02-11,31
2006-02-18,32
2006-02-25,35
2006-03-04,36
2006-03-11,32
2006-03-18,35
2006-03-25,37
2006-04-01,36
2006-04-08,41
2006-04-15,30
2006-04-22,36
2006-04-29,32
2006-05-06,33
2006-05-13,35
2006-05-20,40
2006-05-27,34
2006-06-03,30
2006-06-10,29
2006-06-17,32
2006-06-24,29
2006-07-01,29
2006-07-08,30
2006-07-15,36
2006-07-22,31
2006-07-29,37
2006-08-05,35
2006-08-12,31
2006-08-19,31
2006-08-26,31
2006-09-02,34
2006-09-09,35
2006-09-16,37
2006-09-23,37
2006-09-30,36
2006-10-07,42
2006-10-14,40
2006-10-21,41
2006-10-28,40
2006-11-04,41
2006-11-11,41
2006-11-18,44
2006-11-25,62
2006-12-02,62
2006-12-09,66
2006-12-16,87
2006-12-23,93
2006-12-30,89
2007-01-06,72
2007-01-13,66
2007-01-20,59
2007-01-27,57
2007-02-03,58
2007-02-10,50
2007-02-17,53
2007-02-24,52
2007-03-03,47
2007-03-10,55
2007-03-17,48
2007-03-24,55
2007-03-31,65
2007-04-07,66
2007-04-14,63
2007-04-21,59
2007-04-28,62
2007-05-05,60
2007-05-12,58
2007-05-19,58
2007-05-26,65
2007-06-02,61
2007-06-09,52
2007-06-16,48
2007-06-23,44
2007-06-30,48
2007-07-07,48
2007-07-14,50
2007-07-21,47
2007-07-28,46
2007-08-04,45
2007-08-11,47
2007-08-18,44
2007-08-25,50
2007-09-01,49
2007-09-08,54
2007-09-15,58
2007-09-22,52
2007-09-29,57
2007-10-06,55
2007-10-13,55
2007-10-20,54
2007-10-27,56
2007-11-03,52
2007-11-10,54
2007-11-17,57
2007-11-24,55
2007-12-01,52
2007-12-08,52
2007-12-15,55
2007-12-22,50
2007-12-29,49
2008-01-05,50
2008-01-12,51
2008-01-19,52
2008-01-26,52
2008-02-02,53
2008-02-09,52
2008-02-16,60
2008-02-23,63
2008-03-01,56
2008-03-08,59
2008-03-15,53
2008-03-22,55
2008-03-29,56
2008-04-05,53
2008-04-12,53
2008-04-19,55
2008-04-26,53
2008-05-03,61
2008-05-10,54
2008-05-17,56
2008-05-24,49
2008-05-31,52
2008-06-07,50
2008-06-14,51
2008-06-21,53
2008-06-28,49
2008-07-05,55
2008-07-12,51
2008-07-19,49
2008-07-26,49
2008-08-02,48
2008-08-09,46
2008-08-16,46
2008-08-23,47
2008-08-30,56
2008-09-06,58
2008-09-13,57
2008-09-20,58
2008-09-27,56
2008-10-04,53
2008-10-11,55
2008-10-18,57
2008-10-25,59
2008-11-01,55
2008-11-08,55
2008-11-15,61
2008-11-22,59
2008-11-29,59
2008-12-06,63
2008-12-13,63
2008-12-20,54
2008-12-27,56
2009-01-03,63
2009-01-10,56
2009-01-17,57
2009-01-24,57
2009-01-31,59
2009-02-07,63
2009-02-14,57
2009-02-21,63
2009-02-28,60
2009-03-07,61
2009-03-14,59
2009-03-21,59
2009-03-28,55
2009-04-04,62
2009-04-11,59
2009-04-18,61
2009-04-25,58
2009-05-02,63
2009-05-09,63
2009-05-16,62
2009-05-23,62
2009-05-30,60
2009-06-06,54
2009-06-13,54
2009-06-20,61
2009-06-27,53
2009-07-04,50
2009-07-11,51
2009-07-18,55
2009-07-25,56
2009-08-01,55
2009-08-08,54
2009-08-15,51
2009-08-22,54
2009-08-29,56
2009-09-05,63
2009-09-12,67
2009-09-19,74
2009-09-26,75
2009-10-03,73
2009-10-10,72
2009-10-17,68
2009-10-24,71
2009-10-31,67
2009-11-07,68
2009-11-14,76
2009-11-21,69
2009-11-28,69
2009-12-05,72
2009-12-12,80
2009-12-19,83
2009-12-26,80
2010-01-02,78
2010-01-09,82
2010-01-16,84
2010-01-23,89
2010-01-30,88
2010-02-06,86
2010-02-13,84
2010-02-20,83
2010-02-27,85
2010-03-06,91
2010-03-13,88
2010-03-20,86
2010-03-27,96
2010-04-03,100
2010-04-10,90
2010-04-17,94
2010-04-24,99
2010-05-01,98
2010-05-08,96
2010-05-15,93
2010-05-22,91
2010-05-29,86
2010-06-05,87
2010-06-12,84
2010-06-19,86
2010-06-26,79
2010-07-03,80
2010-07-10,78
2010-07-17,83
2010-07-24,77
2010-07-31,77
2010-08-07,76
2010-08-14,75
2010-08-21,79
2010-08-28,76
2010-09-04,76
2010-09-11,78
2010-09-18,85
2010-09-25,82
2010-10-02,79
2010-10-09,81
2010-10-16,78
2010-10-23,78
2010-10-30,82
2010-11-06,78
2010-11-13,84
2010-11-20,91
2010-11-27,77
2010-12-04,84
2010-12-11,88
2010-12-18,81
2010-12-25,81
2011-01-01,76
2011-01-08,85
2011-01-15,83
2011-01-22,81
2011-01-29,87
2011-02-05,85
2011-02-12,85
2011-02-19,81
2011-02-26,87
2011-03-05,87
2011-03-12,83
2011-03-19,78
2011-03-26,83
2011-04-02,84
2011-04-09,85
2011-04-16,86
2011-04-23,85
2011-04-30,85
2011-05-07,83
2011-05-14,87
2011-05-21,83
2011-05-28,80
2011-06-04,77
2011-06-11,74
2011-06-18,76
2011-06-25,73
2011-07-02,76
2011-07-09,74
2011-07-16,78
2011-07-23,74
2011-07-30,76
2011-08-06,75
2011-08-13,73
2011-08-20,74
2011-08-27,71
2011-09-03,73
2011-09-10,75
2011-09-17,77
2011-09-24,78
2011-10-01,80
2011-10-08,79
2011-10-15,77
2011-10-22,79
2011-10-29,80
2011-11-05,80
2011-11-12,87
2011-11-19,79
2011-11-26,75
2011-12-03,78
2011-12-10,80
2011-12-17,82
2011-12-24,73
2011-12-31,69
2012-01-07,75
2012-01-14,73
2012-01-21,75
2012-01-28,82
2012-02-04,76
2012-02-11,77
2012-02-18,76
2012-02-25,83
2012-03-03,83
2012-03-10,87
2012-03-17,78
2012-03-24,80
2012-03-31,79
2012-04-07,77
2012-04-14,77
2012-04-21,80
2012-04-28,76
2012-05-05,76
2012-05-12,74
2012-05-19,73
2012-05-26,70
2012-06-02,68
2012-06-09,69
2012-06-16,69
2012-06-23,70
2012-06-30,68
2012-07-07,69
2012-07-14,74
2012-07-21,72
2012-07-28,69
2012-08-04,66
2012-08-11,66
2012-08-18,68
2012-08-25,71
2012-09-01,67
2012-09-08,71
2012-09-15,70
2012-09-22,75
2012-09-29,74
2012-10-06,77
