Week,hedge fund
2004-01-10,31
2004-01-17,44
2004-01-24,33
2004-01-31,39
2004-02-07,47
2004-02-14,40
2004-02-21,34
2004-02-28,44
2004-03-06,39
2004-03-13,31
2004-03-20,45
2004-03-27,41
2004-04-03,37
2004-04-10,37
2004-04-17,42
2004-04-24,38
2004-05-01,38
2004-05-08,32
2004-05-15,42
2004-05-22,42
2004-05-29,49
2004-06-05,39
2004-06-12,48
2004-06-19,43
2004-06-26,46
2004-07-03,48
2004-07-10,38
2004-07-17,45
2004-07-24,47
2004-07-31,47
2004-08-07,42
2004-08-14,44
2004-08-21,47
2004-08-28,36
2004-09-04,42
2004-09-11,33
2004-09-18,47
2004-09-25,39
2004-10-02,45
2004-10-09,39
2004-10-16,39
2004-10-23,40
2004-10-30,46
2004-11-06,40
2004-11-13,36
2004-11-20,49
2004-11-27,34
2004-12-04,43
2004-12-11,45
2004-12-18,42
2004-12-25,38
2005-01-01,30
2005-01-08,42
2005-01-15,34
2005-01-22,47
2005-01-29,40
2005-02-05,44
2005-02-12,47
2005-02-19,48
2005-02-26,41
2005-03-05,58
2005-03-12,50
2005-03-19,41
2005-03-26,48
2005-04-02,49
2005-04-09,44
2005-04-16,44
2005-04-23,38
2005-04-30,44
2005-05-07,41
2005-05-14,59
2005-05-21,49
2005-05-28,57
2005-06-04,48
2005-06-11,57
2005-06-18,47
2005-06-25,53
2005-07-02,51
2005-07-09,39
2005-07-16,46
2005-07-23,42
2005-07-30,48
2005-08-06,48
2005-08-13,48
2005-08-20,47
2005-08-27,48
2005-09-03,57
2005-09-10,40
2005-09-17,45
2005-09-24,46
2005-10-01,52
2005-10-08,42
2005-10-15,47
2005-10-22,49
2005-10-29,39
2005-11-05,42
2005-11-12,46
2005-11-19,40
2005-11-26,32
2005-12-03,49
2005-12-10,39
2005-12-17,40
2005-12-24,41
2005-12-31,33
2006-01-07,37
2006-01-14,45
2006-01-21,37
2006-01-28,43
2006-02-04,50
2006-02-11,43
2006-02-18,40
2006-02-25,44
2006-03-04,44
2006-03-11,39
2006-03-18,42
2006-03-25,39
2006-04-01,48
2006-04-08,41
2006-04-15,37
2006-04-22,40
2006-04-29,40
2006-05-06,38
2006-05-13,39
2006-05-20,38
2006-05-27,40
2006-06-03,47
2006-06-10,44
2006-06-17,44
2006-06-24,49
2006-07-01,50
2006-07-08,36
2006-07-15,43
2006-07-22,42
2006-07-29,39
2006-08-05,42
2006-08-12,44
2006-08-19,36
2006-08-26,42
2006-09-02,37
2006-09-09,35
2006-09-16,38
2006-09-23,100
2006-09-30,55
2006-10-07,42
2006-10-14,38
2006-10-21,45
2006-10-28,42
2006-11-04,48
2006-11-11,43
2006-11-18,41
2006-11-25,35
2006-12-02,38
2006-12-09,43
2006-12-16,35
2006-12-23,36
2006-12-30,28
2007-01-06,40
2007-01-13,35
2007-01-20,32
2007-01-27,41
2007-02-03,45
2007-02-10,54
2007-02-17,45
2007-02-24,44
2007-03-03,44
2007-03-10,45
2007-03-17,40
2007-03-24,35
2007-03-31,39
2007-04-07,35
2007-04-14,48
2007-04-21,43
2007-04-28,60
2007-05-05,48
2007-05-12,48
2007-05-19,54
2007-05-26,48
2007-06-02,47
2007-06-09,45
2007-06-16,44
2007-06-23,56
2007-06-30,61
2007-07-07,50
2007-07-14,48
2007-07-21,52
2007-07-28,50
2007-08-04,58
2007-08-11,67
2007-08-18,74
2007-08-25,50
2007-09-01,44
2007-09-08,35
2007-09-15,41
2007-09-22,50
2007-09-29,42
2007-10-06,44
2007-10-13,45
2007-10-20,39
2007-10-27,41
2007-11-03,42
2007-11-10,37
2007-11-17,43
2007-11-24,35
2007-12-01,39
2007-12-08,41
2007-12-15,37
2007-12-22,42
2007-12-29,39
2008-01-05,37
2008-01-12,42
2008-01-19,48
2008-01-26,40
2008-02-02,52
2008-02-09,39
2008-02-16,41
2008-02-23,36
2008-03-01,41
2008-03-08,46
2008-03-15,51
2008-03-22,50
2008-03-29,47
2008-04-05,46
2008-04-12,44
2008-04-19,65
2008-04-26,46
2008-05-03,39
2008-05-10,38
2008-05-17,39
2008-05-24,42
2008-05-31,39
