Week,markets
2004-01-10,47
2004-01-17,55
2004-01-24,49
2004-01-31,51
2004-02-07,47
2004-02-14,56
2004-02-21,47
2004-02-28,49
2004-03-06,47
2004-03-13,54
2004-03-20,49
2004-03-27,45
2004-04-03,57
2004-04-10,51
2004-04-17,51
2004-04-24,56
2004-05-01,52
2004-05-08,56
2004-05-15,50
2004-05-22,51
2004-05-29,52
2004-06-05,50
2004-06-12,59
2004-06-19,53
2004-06-26,50
2004-07-03,63
2004-07-10,51
2004-07-17,60
2004-07-24,58
2004-07-31,57
2004-08-07,58
2004-08-14,53
2004-08-21,50
2004-08-28,53
2004-09-04,49
2004-09-11,52
2004-09-18,56
2004-09-25,55
2004-10-02,56
2004-10-09,63
2004-10-16,62
2004-10-23,56
2004-10-30,54
2004-11-06,61
2004-11-13,49
2004-11-20,48
2004-11-27,48
2004-12-04,48
2004-12-11,46
2004-12-18,48
2004-12-25,42
2005-01-01,41
2005-01-08,42
2005-01-15,48
2005-01-22,46
2005-01-29,46
2005-02-05,46
2005-02-12,45
2005-02-19,48
2005-02-26,50
2005-03-05,49
2005-03-12,52
2005-03-19,51
2005-03-26,49
2005-04-02,49
2005-04-09,45
2005-04-16,51
2005-04-23,49
2005-04-30,48
2005-05-07,49
2005-05-14,49
2005-05-21,48
2005-05-28,51
2005-06-04,50
2005-06-11,52
2005-06-18,51
2005-06-25,56
2005-07-02,59
2005-07-09,52
2005-07-16,53
2005-07-23,55
2005-07-30,52
2005-08-06,52
2005-08-13,49
2005-08-20,51
2005-08-27,48
2005-09-03,45
2005-09-10,46
2005-09-17,47
2005-09-24,47
2005-10-01,45
2005-10-08,48
2005-10-15,47
2005-10-22,51
2005-10-29,45
2005-11-05,47
2005-11-12,48
2005-11-19,49
2005-11-26,45
2005-12-03,40
2005-12-10,44
2005-12-17,42
2005-12-24,46
2005-12-31,44
2006-01-07,44
2006-01-14,45
2006-01-21,48
2006-01-28,50
2006-02-04,46
2006-02-11,48
2006-02-18,47
2006-02-25,48
2006-03-04,47
2006-03-11,49
2006-03-18,50
2006-03-25,47
2006-04-01,48
2006-04-08,53
2006-04-15,50
2006-04-22,48
2006-04-29,47
2006-05-06,49
2006-05-13,48
2006-05-20,48
2006-05-27,57
2006-06-03,51
2006-06-10,59
2006-06-17,56
2006-06-24,51
2006-07-01,50
2006-07-08,52
2006-07-15,51
2006-07-22,52
2006-07-29,48
2006-08-05,48
2006-08-12,49
2006-08-19,48
2006-08-26,47
2006-09-02,41
2006-09-09,45
2006-09-16,46
2006-09-23,47
2006-09-30,43
2006-10-07,47
2006-10-14,53
2006-10-21,47
2006-10-28,49
2006-11-04,50
2006-11-11,51
2006-11-18,46
2006-11-25,45
2006-12-02,43
2006-12-09,43
2006-12-16,42
2006-12-23,42
2006-12-30,43
2007-01-06,45
2007-01-13,44
2007-01-20,47
2007-01-27,45
2007-02-03,44
2007-02-10,43
2007-02-17,45
2007-02-24,49
2007-03-03,55
2007-03-10,54
2007-03-17,49
2007-03-24,47
2007-03-31,49
2007-04-07,49
2007-04-14,45
2007-04-21,47
2007-04-28,48
2007-05-05,46
2007-05-12,51
2007-05-19,48
2007-05-26,51
2007-06-02,49
2007-06-09,55
2007-06-16,56
2007-06-23,53
2007-06-30,56
2007-07-07,55
2007-07-14,55
2007-07-21,55
2007-07-28,59
2007-08-04,57
2007-08-11,59
2007-08-18,59
2007-08-25,50
2007-09-01,52
2007-09-08,52
2007-09-15,49
2007-09-22,48
2007-09-29,53
2007-10-06,53
2007-10-13,52
2007-10-20,51
2007-10-27,49
2007-11-03,53
2007-11-10,55
2007-11-17,55
2007-11-24,49
2007-12-01,49
2007-12-08,49
2007-12-15,48
2007-12-22,44
2007-12-29,45
2008-01-05,49
2008-01-12,50
2008-01-19,48
2008-01-26,68
2008-02-02,57
2008-02-09,54
2008-02-16,51
2008-02-23,51
2008-03-01,53
2008-03-08,53
2008-03-15,53
2008-03-22,62
2008-03-29,53
2008-04-05,54
2008-04-12,51
2008-04-19,48
2008-04-26,53
2008-05-03,51
2008-05-10,55
2008-05-17,50
2008-05-24,53
2008-05-31,47
2008-06-07,50
2008-06-14,54
2008-06-21,55
2008-06-28,54
2008-07-05,56
2008-07-12,55
2008-07-19,59
2008-07-26,54
2008-08-02,53
2008-08-09,54
2008-08-16,49
2008-08-23,48
2008-08-30,50
2008-09-06,53
2008-09-13,57
2008-09-20,78
2008-09-27,67
2008-10-04,90
2008-10-11,100
2008-10-18,84
2008-10-25,68
2008-11-01,65
2008-11-08,61
2008-11-15,58
2008-11-22,56
2008-11-29,52
2008-12-06,48
2008-12-13,50
2008-12-20,45
2008-12-27,43
2009-01-03,42
2009-01-10,46
2009-01-17,46
2009-01-24,48
2009-01-31,47
2009-02-07,45
2009-02-14,47
2009-02-21,52
2009-02-28,50
2009-03-07,54
2009-03-14,54
2009-03-21,52
2009-03-28,51
2009-04-04,51
2009-04-11,54
2009-04-18,51
2009-04-25,48
2009-05-02,49
2009-05-09,49
2009-05-16,49
2009-05-23,52
2009-05-30,49
2009-06-06,51
2009-06-13,53
2009-06-20,52
2009-06-27,51
2009-07-04,54
2009-07-11,53
2009-07-18,53
2009-07-25,53
2009-08-01,52
2009-08-08,50
2009-08-15,51
2009-08-22,49
2009-08-29,46
2009-09-05,47
2009-09-12,50
2009-09-19,49
2009-09-26,47
2009-10-03,47
2009-10-10,48
2009-10-17,47
2009-10-24,45
2009-10-31,45
2009-11-07,46
2009-11-14,46
2009-11-21,44
2009-11-28,42
2009-12-05,43
2009-12-12,40
2009-12-19,40
2009-12-26,40
2010-01-02,39
2010-01-09,40
2010-01-16,45
2010-01-23,46
2010-01-30,46
2010-02-06,47
2010-02-13,45
2010-02-20,42
2010-02-27,41
2010-03-06,44
2010-03-13,44
2010-03-20,43
2010-03-27,46
2010-04-03,49
2010-04-10,45
2010-04-17,46
2010-04-24,47
2010-05-01,46
2010-05-08,50
2010-05-15,50
2010-05-22,51
2010-05-29,50
2010-06-05,46
2010-06-12,50
2010-06-19,45
2010-06-26,46
2010-07-03,49
2010-07-10,45
2010-07-17,42
2010-07-24,43
2010-07-31,42
2010-08-07,44
2010-08-14,44
2010-08-21,44
2010-08-28,43
2010-09-04,42
2010-09-11,40
2010-09-18,41
2010-09-25,41
2010-10-02,41
2010-10-09,42
2010-10-16,42
2010-10-23,41
2010-10-30,37
2010-11-06,39
2010-11-13,42
2010-11-20,40
2010-11-27,37
2010-12-04,37
2010-12-11,37
2010-12-18,34
2010-12-25,36
2011-01-01,32
2011-01-08,38
2011-01-15,39
2011-01-22,42
2011-01-29,39
2011-02-05,41
2011-02-12,41
2011-02-19,44
2011-02-26,41
2011-03-05,40
2011-03-12,42
2011-03-19,41
2011-03-26,41
2011-04-02,42
2011-04-09,43
2011-04-16,43
2011-04-23,45
2011-04-30,42
2011-05-07,43
2011-05-14,43
2011-05-21,42
2011-05-28,43
2011-06-04,44
2011-06-11,45
2011-06-18,44
2011-06-25,45
2011-07-02,48
2011-07-09,45
2011-07-16,46
2011-07-23,45
2011-07-30,54
2011-08-06,54
2011-08-13,79
2011-08-20,50
2011-08-27,46
2011-09-03,43
2011-09-10,46
2011-09-17,46
2011-09-24,46
2011-10-01,46
2011-10-08,47
2011-10-15,45
2011-10-22,43
2011-10-29,43
2011-11-05,45
2011-11-12,43
2011-11-19,42
2011-11-26,41
2011-12-03,39
2011-12-10,38
2011-12-17,38
2011-12-24,36
2011-12-31,35
2012-01-07,36
2012-01-14,38
2012-01-21,37
2012-01-28,38
2012-02-04,41
2012-02-11,38
2012-02-18,38
2012-02-25,38
2012-03-03,39
2012-03-10,38
2012-03-17,36
2012-03-24,38
2012-03-31,38
2012-04-07,40
2012-04-14,39
2012-04-21,39
2012-04-28,40
2012-05-05,39
2012-05-12,40
2012-05-19,40
2012-05-26,42
2012-06-02,41
2012-06-09,43
2012-06-16,42
2012-06-23,42
2012-06-30,41
2012-07-07,44
2012-07-14,43
2012-07-21,42
2012-07-28,42
2012-08-04,39
2012-08-11,38
2012-08-18,38
2012-08-25,36
2012-09-01,37
2012-09-08,39
2012-09-15,39
2012-09-22,39
2012-09-29,39
2012-10-06,39
2012-10-13,37
2012-10-20,36
2012-10-27,36
2012-11-03,36
2012-11-10,38
2012-11-17,37
2012-11-24,32
2012-12-01,33
2012-12-08,32
2012-12-15,32
2012-12-22,30
2012-12-29,30
2013-01-05,33
2013-01-12,32
2013-01-19,34
2013-01-26,35
2013-02-02,35
2013-02-09,34
2013-02-16,35
2013-02-23,36
2013-03-02,36
2013-03-09,35
