Week,money
2004-01-10,60
2004-01-17,61
2004-01-24,59
2004-01-31,57
2004-02-07,55
2004-02-14,58
2004-02-21,57
2004-02-28,61
2004-03-06,60
2004-03-13,58
2004-03-20,57
2004-03-27,56
2004-04-03,58
2004-04-10,57
2004-04-17,56
2004-04-24,58
2004-05-01,57
2004-05-08,59
2004-05-15,57
2004-05-22,56
2004-05-29,53
2004-06-05,53
2004-06-12,54
2004-06-19,55
2004-06-26,54
2004-07-03,56
2004-07-10,62
2004-07-17,55
2004-07-24,58
2004-07-31,56
2004-08-07,55
2004-08-14,59
2004-08-21,55
2004-08-28,53
2004-09-04,50
2004-09-11,52
2004-09-18,54
2004-09-25,54
2004-10-02,56
2004-10-09,55
2004-10-16,54
2004-10-23,56
2004-10-30,56
2004-11-06,53
2004-11-13,57
2004-11-20,59
2004-11-27,55
2004-12-04,58
2004-12-11,60
2004-12-18,58
2004-12-25,50
2005-01-01,58
2005-01-08,60
2005-01-15,60
2005-01-22,55
2005-01-29,56
2005-02-05,58
2005-02-12,59
2005-02-19,56
2005-02-26,57
2005-03-05,60
2005-03-12,60
2005-03-19,57
2005-03-26,57
2005-04-02,56
2005-04-09,58
2005-04-16,58
2005-04-23,62
2005-04-30,61
2005-05-07,58
2005-05-14,60
2005-05-21,60
2005-05-28,58
2005-06-04,58
2005-06-11,57
2005-06-18,58
2005-06-25,56
2005-07-02,56
2005-07-09,57
2005-07-16,62
2005-07-23,59
2005-07-30,57
2005-08-06,59
2005-08-13,55
2005-08-20,55
2005-08-27,55
2005-09-03,54
2005-09-10,57
2005-09-17,58
2005-09-24,56
2005-10-01,57
2005-10-08,61
2005-10-15,62
2005-10-22,57
2005-10-29,58
2005-11-05,61
2005-11-12,59
2005-11-19,61
2005-11-26,55
2005-12-03,59
2005-12-10,59
2005-12-17,58
2005-12-24,55
2005-12-31,59
2006-01-07,62
2006-01-14,62
2006-01-21,62
2006-01-28,61
2006-02-04,64
2006-02-11,62
2006-02-18,61
2006-02-25,61
2006-03-04,63
2006-03-11,60
2006-03-18,60
2006-03-25,63
2006-04-01,66
2006-04-08,65
2006-04-15,66
2006-04-22,65
2006-04-29,66
2006-05-06,64
2006-05-13,64
2006-05-20,64
2006-05-27,64
2006-06-03,64
2006-06-10,63
2006-06-17,60
2006-06-24,60
2006-07-01,58
2006-07-08,60
2006-07-15,58
2006-07-22,63
2006-07-29,62
2006-08-05,59
2006-08-12,58
2006-08-19,59
2006-08-26,61
2006-09-02,61
2006-09-09,62
2006-09-16,63
2006-09-23,62
2006-09-30,64
2006-10-07,64
2006-10-14,64
2006-10-21,65
2006-10-28,63
2006-11-04,61
2006-11-11,62
2006-11-18,65
2006-11-25,62
2006-12-02,63
2006-12-09,65
2006-12-16,63
2006-12-23,61
2006-12-30,61
2007-01-06,66
2007-01-13,64
2007-01-20,65
2007-01-27,65
2007-02-03,63
2007-02-10,63
2007-02-17,62
2007-02-24,62
2007-03-03,65
2007-03-10,65
2007-03-17,63
2007-03-24,63
2007-03-31,65
2007-04-07,63
2007-04-14,66
2007-04-21,63
2007-04-28,68
2007-05-05,64
2007-05-12,63
2007-05-19,66
2007-05-26,65
2007-06-02,64
2007-06-09,66
2007-06-16,65
2007-06-23,64
2007-06-30,62
2007-07-07,65
2007-07-14,67
2007-07-21,73
2007-07-28,68
2007-08-04,65
2007-08-11,69
2007-08-18,71
2007-08-25,65
2007-09-01,65
2007-09-08,68
2007-09-15,67
2007-09-22,69
2007-09-29,72
2007-10-06,71
2007-10-13,67
2007-10-20,70
2007-10-27,68
2007-11-03,70
2007-11-10,71
2007-11-17,70
2007-11-24,70
2007-12-01,74
2007-12-08,71
2007-12-15,73
2007-12-22,68
2007-12-29,71
2008-01-05,74
2008-01-12,73
2008-01-19,76
2008-01-26,80
2008-02-02,78
2008-02-09,74
2008-02-16,69
2008-02-23,71
2008-03-01,72
2008-03-08,71
2008-03-15,74
2008-03-22,73
2008-03-29,72
2008-04-05,76
2008-04-12,73
2008-04-19,75
2008-04-26,72
2008-05-03,74
2008-05-10,74
2008-05-17,74
2008-05-24,72
2008-05-31,70
2008-06-07,72
2008-06-14,70
2008-06-21,74
2008-06-28,71
2008-07-05,72
2008-07-12,76
2008-07-19,85
2008-07-26,78
2008-08-02,79
2008-08-09,73
2008-08-16,71
2008-08-23,70
2008-08-30,70
2008-09-06,73
2008-09-13,71
2008-09-20,93
2008-09-27,88
2008-10-04,96
2008-10-11,100
2008-10-18,90
2008-10-25,84
2008-11-01,81
2008-11-08,79
2008-11-15,82
2008-11-22,82
2008-11-29,79
2008-12-06,80
2008-12-13,83
2008-12-20,78
2008-12-27,74
2009-01-03,79
2009-01-10,82
2009-01-17,80
2009-01-24,80
2009-01-31,82
2009-02-07,84
2009-02-14,84
2009-02-21,85
2009-02-28,85
2009-03-07,85
2009-03-14,83
2009-03-21,83
2009-03-28,85
2009-04-04,80
2009-04-11,78
2009-04-18,81
2009-04-25,78
2009-05-02,82
2009-05-09,82
2009-05-16,78
2009-05-23,76
2009-05-30,75
2009-06-06,80
2009-06-13,78
2009-06-20,78
2009-06-27,74
2009-07-04,74
2009-07-11,77
2009-07-18,77
2009-07-25,77
2009-08-01,78
2009-08-08,76
2009-08-15,74
2009-08-22,75
2009-08-29,74
2009-09-05,72
2009-09-12,73
2009-09-19,73
2009-09-26,73
2009-10-03,72
2009-10-10,75
2009-10-17,74
2009-10-24,74
2009-10-31,71
2009-11-07,76
2009-11-14,76
2009-11-21,77
2009-11-28,73
2009-12-05,76
2009-12-12,77
2009-12-19,78
2009-12-26,81
2010-01-02,82
2010-01-09,82
2010-01-16,84
2010-01-23,82
2010-01-30,81
2010-02-06,79
2010-02-13,77
2010-02-20,76
2010-02-27,75
2010-03-06,80
2010-03-13,77
2010-03-20,76
2010-03-27,79
2010-04-03,77
2010-04-10,76
2010-04-17,80
2010-04-24,78
2010-05-01,77
2010-05-08,76
2010-05-15,78
2010-05-22,77
2010-05-29,73
2010-06-05,71
2010-06-12,72
2010-06-19,69
2010-06-26,69
2010-07-03,71
2010-07-10,68
2010-07-17,74
2010-07-24,77
2010-07-31,71
2010-08-07,71
2010-08-14,71
2010-08-21,70
2010-08-28,68
2010-09-04,68
2010-09-11,69
2010-09-18,71
2010-09-25,73
2010-10-02,72
2010-10-09,74
2010-10-16,73
2010-10-23,70
2010-10-30,71
2010-11-06,73
2010-11-13,73
2010-11-20,75
2010-11-27,68
2010-12-04,74
2010-12-11,76
2010-12-18,72
2010-12-25,77
2011-01-01,78
2011-01-08,90
2011-01-15,86
2011-01-22,84
2011-01-29,87
2011-02-05,85
2011-02-12,83
2011-02-19,84
2011-02-26,82
2011-03-05,85
2011-03-12,83
2011-03-19,80
2011-03-26,83
2011-04-02,84
2011-04-09,85
2011-04-16,84
2011-04-23,80
2011-04-30,82
2011-05-07,80
2011-05-14,81
2011-05-21,82
2011-05-28,84
2011-06-04,82
2011-06-11,82
2011-06-18,82
2011-06-25,80
2011-07-02,81
2011-07-09,83
2011-07-16,85
2011-07-23,92
2011-07-30,84
2011-08-06,88
2011-08-13,90
2011-08-20,86
2011-08-27,83
2011-09-03,80
2011-09-10,81
2011-09-17,81
2011-09-24,82
2011-10-01,89
2011-10-08,82
2011-10-15,81
2011-10-22,80
2011-10-29,80
2011-11-05,82
2011-11-12,80
2011-11-19,82
2011-11-26,77
2011-12-03,82
2011-12-10,83
2011-12-17,82
2011-12-24,77
2011-12-31,81
2012-01-07,83
2012-01-14,84
2012-01-21,81
2012-01-28,94
2012-02-04,88
2012-02-11,83
2012-02-18,81
2012-02-25,81
2012-03-03,84
2012-03-10,83
2012-03-17,78
2012-03-24,77
2012-03-31,83
2012-04-07,79
2012-04-14,79
2012-04-21,80
2012-04-28,80
2012-05-05,83
2012-05-12,81
2012-05-19,85
2012-05-26,83
2012-06-02,80
2012-06-09,78
2012-06-16,81
2012-06-23,81
2012-06-30,80
2012-07-07,80
2012-07-14,87
2012-07-21,88
2012-07-28,83
2012-08-04,83
2012-08-11,81
2012-08-18,80
2012-08-25,80
2012-09-01,77
2012-09-08,81
2012-09-15,81
2012-09-22,80
2012-09-29,81
2012-10-06,83
2012-10-13,75
2012-10-20,76
2012-10-27,76
2012-11-03,74
2012-11-10,79
2012-11-17,77
2012-11-24,73
2012-12-01,79
2012-12-08,78
2012-12-15,76
2012-12-22,73
2012-12-29,72
2013-01-05,83
2013-01-12,83
2013-01-19,81
2013-01-26,81
2013-02-02,82
2013-02-09,79
2013-02-16,76
2013-02-23,78
2013-03-02,79
2013-03-09,80
2013-03-16,76
2013-03-23,80
2013-03-30,76
2013-04-06,78
2013-04-13,79
2013-04-20,78
2013-04-27,77
2013-05-04,79
2013-05-11,80
2013-05-18,80
2013-05-25,79
2013-06-01,77
2013-06-08,81
2013-06-15,77
2013-06-22,78
2013-06-29,82
2013-07-06,80
2013-07-13,80
2013-07-20,90
2013-07-27,84
2013-08-03,84
2013-08-10,78
2013-08-17,83
2013-08-24,79
2013-08-31,79
2013-09-07,80
2013-09-14,79
2013-09-21,87
2013-09-28,91
2013-10-05,88
2013-10-12,88
2013-10-19,89
2013-10-26,85
2013-11-02,82
2013-11-09,83
2013-11-16,82
2013-11-23,83
2013-11-30,80
2013-12-07,84
2013-12-14,83
2013-12-21,88
2013-12-28,88
2014-01-04,93
