Week,stocks
2004-01-10,62
2004-01-17,60
2004-01-24,59
2004-01-31,52
2004-02-07,51
2004-02-14,56
2004-02-21,49
2004-02-28,46
2004-03-06,50
2004-03-13,44
2004-03-20,47
2004-03-27,43
2004-04-03,49
2004-04-10,43
2004-04-17,46
2004-04-24,44
2004-05-01,46
2004-05-08,40
2004-05-15,40
2004-05-22,33
2004-05-29,33
2004-06-05,33
2004-06-12,35
2004-06-19,38
2004-06-26,37
2004-07-03,34
2004-07-10,34
2004-07-17,38
2004-07-24,37
2004-07-31,35
2004-08-07,36
2004-08-14,33
2004-08-21,39
2004-08-28,38
2004-09-04,32
2004-09-11,32
2004-09-18,38
2004-09-25,37
2004-10-02,39
2004-10-09,46
2004-10-16,40
2004-10-23,40
2004-10-30,39
2004-11-06,42
2004-11-13,48
2004-11-20,47
2004-11-27,48
2004-12-04,52
2004-12-11,53
2004-12-18,50
2004-12-25,46
2005-01-01,52
2005-01-08,50
2005-01-15,47
2005-01-22,44
2005-01-29,49
2005-02-05,53
2005-02-12,48
2005-02-19,48
2005-02-26,43
2005-03-05,53
2005-03-12,46
2005-03-19,46
2005-03-26,42
2005-04-02,41
2005-04-09,39
2005-04-16,40
2005-04-23,43
2005-04-30,38
2005-05-07,37
2005-05-14,38
2005-05-21,38
2005-05-28,36
2005-06-04,39
2005-06-11,38
2005-06-18,39
2005-06-25,38
2005-07-02,35
2005-07-09,38
2005-07-16,41
2005-07-23,42
2005-07-30,40
2005-08-06,41
2005-08-13,41
2005-08-20,41
2005-08-27,37
2005-09-03,38
2005-09-10,40
2005-09-17,44
2005-09-24,41
2005-10-01,45
2005-10-08,43
2005-10-15,44
2005-10-22,44
2005-10-29,42
2005-11-05,44
2005-11-12,40
2005-11-19,47
2005-11-26,42
2005-12-03,45
2005-12-10,42
2005-12-17,44
2005-12-24,44
2005-12-31,47
2006-01-07,50
2006-01-14,55
2006-01-21,51
2006-01-28,56
2006-02-04,57
2006-02-11,55
2006-02-18,50
2006-02-25,48
2006-03-04,51
2006-03-11,48
2006-03-18,46
2006-03-25,49
2006-04-01,50
2006-04-08,52
2006-04-15,48
2006-04-22,49
2006-04-29,52
2006-05-06,49
2006-05-13,49
2006-05-20,42
2006-05-27,42
2006-06-03,37
2006-06-10,38
2006-06-17,34
2006-06-24,32
2006-07-01,33
2006-07-08,32
2006-07-15,32
2006-07-22,35
2006-07-29,36
2006-08-05,34
2006-08-12,34
2006-08-19,33
2006-08-26,31
2006-09-02,33
2006-09-09,34
2006-09-16,36
2006-09-23,39
2006-09-30,39
2006-10-07,40
2006-10-14,43
2006-10-21,42
2006-10-28,43
2006-11-04,38
2006-11-11,41
2006-11-18,42
2006-11-25,39
2006-12-02,40
2006-12-09,42
2006-12-16,38
2006-12-23,36
2006-12-30,41
2007-01-06,43
2007-01-13,46
2007-01-20,43
2007-01-27,45
2007-02-03,46
2007-02-10,45
2007-02-17,43
2007-02-24,46
2007-03-03,52
2007-03-10,49
2007-03-17,42
2007-03-24,41
2007-03-31,41
2007-04-07,39
2007-04-14,41
2007-04-21,41
2007-04-28,45
2007-05-05,42
2007-05-12,39
2007-05-19,39
2007-05-26,35
2007-06-02,36
2007-06-09,38
2007-06-16,35
2007-06-23,38
2007-06-30,37
2007-07-07,38
2007-07-14,42
2007-07-21,44
2007-07-28,43
2007-08-04,39
2007-08-11,42
2007-08-18,43
2007-08-25,39
2007-09-01,36
2007-09-08,37
2007-09-15,37
2007-09-22,42
2007-09-29,46
2007-10-06,43
2007-10-13,48
2007-10-20,45
2007-10-27,45
2007-11-03,49
2007-11-10,47
2007-11-17,46
2007-11-24,39
2007-12-01,44
2007-12-08,41
2007-12-15,43
2007-12-22,41
2007-12-29,43
2008-01-05,49
2008-01-12,46
2008-01-19,49
2008-01-26,58
2008-02-02,54
2008-02-09,49
2008-02-16,45
2008-02-23,42
2008-03-01,46
2008-03-08,44
2008-03-15,47
2008-03-22,50
2008-03-29,47
2008-04-05,46
2008-04-12,43
2008-04-19,42
2008-04-26,43
2008-05-03,42
2008-05-10,41
2008-05-17,43
2008-05-24,43
2008-05-31,38
2008-06-07,37
2008-06-14,38
2008-06-21,37
2008-06-28,37
2008-07-05,36
2008-07-12,36
2008-07-19,43
2008-07-26,40
2008-08-02,37
2008-08-09,34
2008-08-16,32
2008-08-23,29
2008-08-30,30
2008-09-06,30
2008-09-13,36
2008-09-20,69
2008-09-27,57
2008-10-04,80
2008-10-11,100
2008-10-18,97
2008-10-25,70
2008-11-01,64
2008-11-08,53
2008-11-15,54
2008-11-22,61
2008-11-29,51
2008-12-06,51
2008-12-13,48
2008-12-20,40
2008-12-27,36
2009-01-03,42
2009-01-10,45
2009-01-17,41
2009-01-24,39
2009-01-31,40
2009-02-07,41
2009-02-14,40
2009-02-21,42
2009-02-28,51
2009-03-07,53
2009-03-14,61
2009-03-21,58
2009-03-28,58
2009-04-04,50
2009-04-11,45
2009-04-18,48
2009-04-25,44
