Week,terrorist
2004-01-10,19
2004-01-17,16
2004-01-24,16
2004-01-31,22
2004-02-07,18
2004-02-14,17
2004-02-21,16
2004-02-28,23
2004-03-06,21
2004-03-13,37
2004-03-20,27
2004-03-27,30
2004-04-03,26
2004-04-10,28
2004-04-17,29
2004-04-24,28
2004-05-01,29
2004-05-08,24
2004-05-15,49
2004-05-22,29
2004-05-29,41
2004-06-05,26
2004-06-12,23
2004-06-19,33
2004-06-26,34
2004-07-03,27
2004-07-10,22
2004-07-17,23
2004-07-24,32
2004-07-31,23
2004-08-07,36
2004-08-14,24
2004-08-21,20
2004-08-28,23
2004-09-04,27
2004-09-11,39
2004-09-18,27
2004-09-25,41
2004-10-02,31
2004-10-09,32
2004-10-16,30
2004-10-23,27
2004-10-30,33
2004-11-06,29
2004-11-13,27
2004-11-20,27
2004-11-27,21
2004-12-04,21
2004-12-11,22
2004-12-18,16
2004-12-25,14
2005-01-01,13
2005-01-08,16
2005-01-15,15
2005-01-22,19
2005-01-29,22
2005-02-05,24
2005-02-12,18
2005-02-19,18
2005-02-26,42
2005-03-05,22
2005-03-12,18
2005-03-19,16
2005-03-26,14
2005-04-02,14
2005-04-09,15
2005-04-16,18
2005-04-23,17
2005-04-30,19
2005-05-07,18
2005-05-14,17
2005-05-21,17
2005-05-28,17
2005-06-04,15
2005-06-11,15
2005-06-18,13
2005-06-25,12
2005-07-02,16
2005-07-09,60
2005-07-16,31
2005-07-23,26
2005-07-30,21
2005-08-06,19
2005-08-13,15
2005-08-20,17
2005-08-27,16
2005-09-03,15
2005-09-10,15
2005-09-17,24
2005-09-24,15
2005-10-01,17
2005-10-08,19
2005-10-15,17
2005-10-22,17
2005-10-29,14
2005-11-05,16
2005-11-12,20
2005-11-19,22
2005-11-26,15
2005-12-03,17
2005-12-10,19
2005-12-17,18
2005-12-24,15
2005-12-31,13
2006-01-07,14
2006-01-14,14
2006-01-21,16
2006-01-28,18
2006-02-04,20
2006-02-11,21
2006-02-18,18
2006-02-25,17
2006-03-04,16
2006-03-11,16
2006-03-18,16
2006-03-25,16
2006-04-01,14
2006-04-08,16
2006-04-15,15
2006-04-22,17
2006-04-29,17
2006-05-06,19
2006-05-13,16
2006-05-20,13
2006-05-27,15
2006-06-03,14
2006-06-10,24
2006-06-17,13
2006-06-24,15
2006-07-01,14
2006-07-08,12
2006-07-15,22
2006-07-22,14
2006-07-29,13
2006-08-05,13
2006-08-12,42
2006-08-19,26
2006-08-26,16
2006-09-02,16
2006-09-09,19
2006-09-16,30
2006-09-23,22
2006-09-30,18
2006-10-07,17
2006-10-14,15
2006-10-21,17
2006-10-28,16
2006-11-04,15
2006-11-11,15
2006-11-18,14
2006-11-25,12
2006-12-02,14
2006-12-09,13
2006-12-16,13
2006-12-23,10
2006-12-30,9
2007-01-06,10
2007-01-13,12
2007-01-20,12
2007-01-27,13
2007-02-03,15
2007-02-10,12
2007-02-17,11
2007-02-24,12
2007-03-03,11
2007-03-10,12
2007-03-17,12
2007-03-24,12
2007-03-31,12
2007-04-07,12
2007-04-14,12
2007-04-21,14
2007-04-28,13
2007-05-05,13
2007-05-12,19
2007-05-19,15
2007-05-26,13
2007-06-02,14
2007-06-09,16
2007-06-16,10
2007-06-23,9
2007-06-30,13
2007-07-07,19
2007-07-14,13
2007-07-21,13
2007-07-28,11
2007-08-04,11
2007-08-11,10
2007-08-18,9
2007-08-25,9
2007-09-01,9
2007-09-08,13
2007-09-15,21
2007-09-22,13
2007-09-29,14
2007-10-06,12
2007-10-13,14
2007-10-20,15
2007-10-27,17
2007-11-03,16
2007-11-10,21
2007-11-17,21
2007-11-24,23
2007-12-01,23
2007-12-08,20
2007-12-15,20
2007-12-22,18
2007-12-29,21
2008-01-05,18
2008-01-12,17
2008-01-19,17
2008-01-26,17
2008-02-02,17
2008-02-09,16
2008-02-16,17
2008-02-23,15
2008-03-01,17
2008-03-08,18
2008-03-15,18
2008-03-22,15
2008-03-29,16
2008-04-05,16
2008-04-12,16
2008-04-19,16
2008-04-26,16
2008-05-03,17
2008-05-10,16
2008-05-17,18
2008-05-24,16
2008-05-31,17
2008-06-07,14
2008-06-14,22
2008-06-21,15
2008-06-28,13
2008-07-05,14
2008-07-12,12
2008-07-19,23
2008-07-26,16
2008-08-02,12
2008-08-09,12
2008-08-16,11
2008-08-23,12
2008-08-30,11
2008-09-06,15
2008-09-13,19
2008-09-20,17
2008-09-27,18
2008-10-04,18
2008-10-11,37
2008-10-18,26
2008-10-25,26
2008-11-01,25
2008-11-08,25
2008-11-15,17
2008-11-22,19
2008-11-29,46
2008-12-06,41
2008-12-13,23
2008-12-20,16
2008-12-27,15
2009-01-03,13
2009-01-10,16
2009-01-17,16
2009-01-24,16
2009-01-31,15
2009-02-07,15
2009-02-14,13
2009-02-21,13
2009-02-28,14
2009-03-07,14
2009-03-14,15
2009-03-21,14
2009-03-28,13
2009-04-04,14
2009-04-11,14
2009-04-18,16
2009-04-25,17
2009-05-02,16
2009-05-09,14
2009-05-16,14
2009-05-23,15
2009-05-30,14
2009-06-06,14
2009-06-13,14
2009-06-20,10
2009-06-27,10
2009-07-04,9
2009-07-11,10
2009-07-18,12
2009-07-25,11
2009-08-01,12
2009-08-08,11
2009-08-15,9
2009-08-22,11
2009-08-29,11
2009-09-05,11
2009-09-12,15
2009-09-19,16
2009-09-26,23
2009-10-03,15
2009-10-10,14
2009-10-17,12
2009-10-24,15
2009-10-31,16
2009-11-07,17
2009-11-14,21
2009-11-21,18
2009-11-28,16
2009-12-05,16
2009-12-12,17
2009-12-19,13
2009-12-26,25
2010-01-02,50
2010-01-09,27
2010-01-16,18
2010-01-23,15
2010-01-30,16
2010-02-06,17
2010-02-13,15
2010-02-20,14
2010-02-27,14
2010-03-06,12
2010-03-13,12
2010-03-20,14
2010-03-27,13
2010-04-03,16
2010-04-10,13
2010-04-17,14
2010-04-24,15
2010-05-01,14
2010-05-08,25
2010-05-15,17
2010-05-22,16
2010-05-29,14
2010-06-05,12
2010-06-12,12
2010-06-19,10
2010-06-26,10
2010-07-03,10
2010-07-10,9
2010-07-17,11
2010-07-24,9
2010-07-31,9
2010-08-07,9
2010-08-14,9
2010-08-21,10
2010-08-28,11
2010-09-04,11
2010-09-11,14
2010-09-18,13
2010-09-25,11
2010-10-02,11
2010-10-09,16
2010-10-16,11
2010-10-23,13
2010-10-30,18
2010-11-06,13
2010-11-13,11
2010-11-20,13
2010-11-27,14
2010-12-04,15
2010-12-11,13
2010-12-18,11
2010-12-25,12
2011-01-01,9
2011-01-08,10
2011-01-15,10
2011-01-22,9
2011-01-29,13
2011-02-05,10
2011-02-12,11
2011-02-19,10
2011-02-26,12
2011-03-05,11
2011-03-12,11
2011-03-19,10
2011-03-26,11
2011-04-02,10
2011-04-09,10
2011-04-16,10
2011-04-23,10
2011-04-30,11
2011-05-07,40
2011-05-14,17
2011-05-21,13
2011-05-28,10
2011-06-04,10
2011-06-11,9
2011-06-18,9
2011-06-25,9
2011-07-02,8
2011-07-09,8
2011-07-16,9
2011-07-23,16
2011-07-30,18
2011-08-06,10
2011-08-13,8
2011-08-20,10
2011-08-27,9
2011-09-03,10
2011-09-10,38
2011-09-17,33
2011-09-24,11
2011-10-01,16
2011-10-08,13
2011-10-15,12
2011-10-22,12
2011-10-29,11
2011-11-05,11
2011-11-12,10
2011-11-19,11
2011-11-26,14
2011-12-03,12
2011-12-10,13
2011-12-17,15
2011-12-24,11
2011-12-31,9
2012-01-07,9
2012-01-14,11
2012-01-21,9
2012-01-28,9
2012-02-04,9
2012-02-11,9
2012-02-18,10
2012-02-25,9
2012-03-03,10
2012-03-10,10
2012-03-17,9
2012-03-24,11
2012-03-31,9
2012-04-07,9
2012-04-14,9
2012-04-21,9
2012-04-28,10
2012-05-05,11
2012-05-12,12
2012-05-19,11
2012-05-26,10
2012-06-02,9
2012-06-09,8
2012-06-16,7
2012-06-23,7
2012-06-30,8
2012-07-07,9
2012-07-14,8
2012-07-21,11
2012-07-28,11
2012-08-04,8
2012-08-11,9
2012-08-18,8
2012-08-25,12
2012-09-01,11
2012-09-08,13
2012-09-15,23
2012-09-22,15
2012-09-29,15
2012-10-06,13
2012-10-13,13
2012-10-20,20
2012-10-27,14
2012-11-03,13
2012-11-10,12
2012-11-17,12
2012-11-24,14
2012-12-01,12
2012-12-08,11
2012-12-15,12
2012-12-22,11
2012-12-29,9
2013-01-05,9
2013-01-12,10
2013-01-19,11
2013-01-26,11
2013-02-02,10
2013-02-09,10
2013-02-16,10
2013-02-23,9
2013-03-02,10
2013-03-09,10
2013-03-16,9
2013-03-23,10
2013-03-30,9
2013-04-06,9
2013-04-13,11
2013-04-20,100
2013-04-27,42
2013-05-04,19
2013-05-11,15
2013-05-18,14
2013-05-25,27
2013-06-01,13
2013-06-08,10
2013-06-15,10
2013-06-22,9
2013-06-29,9
2013-07-06,9
2013-07-13,9
2013-07-20,11
2013-07-27,10
2013-08-03,11
2013-08-10,19
2013-08-17,8
2013-08-24,9
2013-08-31,9
2013-09-07,9
2013-09-14,17
2013-09-21,12
2013-09-28,18
2013-10-05,12
2013-10-12,12
2013-10-19,10
2013-10-26,10
2013-11-02,11
2013-11-09,10
2013-11-16,10
2013-11-23,10
2013-11-30,9
2013-12-07,18
2013-12-14,18
2013-12-21,10
2013-12-28,8
2014-01-04,10
