Week,unemployment
2004-01-10,25
2004-01-17,23
2004-01-24,22
2004-01-31,23
2004-02-07,21
2004-02-14,21
2004-02-21,20
2004-02-28,19
2004-03-06,21
2004-03-13,16
2004-03-20,20
2004-03-27,16
2004-04-03,19
2004-04-10,19
2004-04-17,18
2004-04-24,18
2004-05-01,19
2004-05-08,18
2004-05-15,17
2004-05-22,16
2004-05-29,16
2004-06-05,18
2004-06-12,18
2004-06-19,18
2004-06-26,16
2004-07-03,19
2004-07-10,19
2004-07-17,18
2004-07-24,17
2004-07-31,18
2004-08-07,18
2004-08-14,17
2004-08-21,15
2004-08-28,18
2004-09-04,19
2004-09-11,17
2004-09-18,17
2004-09-25,17
2004-10-02,16
2004-10-09,19
2004-10-16,18
2004-10-23,18
2004-10-30,17
2004-11-06,20
2004-11-13,16
2004-11-20,18
2004-11-27,14
2004-12-04,18
2004-12-11,17
2004-12-18,16
2004-12-25,14
2005-01-01,19
2005-01-08,20
2005-01-15,19
2005-01-22,18
2005-01-29,19
2005-02-05,19
2005-02-12,17
2005-02-19,15
2005-02-26,17
2005-03-05,17
2005-03-12,16
2005-03-19,15
2005-03-26,15
2005-04-02,16
2005-04-09,15
2005-04-16,17
2005-04-23,16
2005-04-30,17
2005-05-07,17
2005-05-14,15
2005-05-21,16
2005-05-28,15
2005-06-04,17
2005-06-11,16
2005-06-18,16
2005-06-25,18
2005-07-02,17
2005-07-09,17
2005-07-16,16
2005-07-23,16
2005-07-30,16
2005-08-06,16
2005-08-13,15
2005-08-20,15
2005-08-27,15
2005-09-03,16
2005-09-10,18
2005-09-17,16
2005-09-24,15
2005-10-01,16
2005-10-08,16
2005-10-15,16
2005-10-22,16
2005-10-29,16
2005-11-05,17
2005-11-12,16
2005-11-19,16
2005-11-26,13
2005-12-03,17
2005-12-10,16
2005-12-17,16
2005-12-24,16
2005-12-31,18
2006-01-07,22
2006-01-14,19
2006-01-21,18
2006-01-28,18
2006-02-04,18
2006-02-11,16
2006-02-18,16
2006-02-25,16
2006-03-04,16
2006-03-11,16
2006-03-18,15
2006-03-25,16
2006-04-01,16
2006-04-08,16
2006-04-15,16
2006-04-22,16
2006-04-29,17
2006-05-06,16
2006-05-13,16
2006-05-20,14
2006-05-27,15
2006-06-03,16
2006-06-10,16
2006-06-17,15
2006-06-24,16
2006-07-01,17
2006-07-08,17
2006-07-15,17
2006-07-22,17
2006-07-29,17
2006-08-05,16
