Week,war
2004-01-10,63
2004-01-17,66
2004-01-24,62
2004-01-31,61
2004-02-07,65
2004-02-14,70
2004-02-21,67
2004-02-28,70
2004-03-06,79
2004-03-13,67
2004-03-20,72
2004-03-27,70
2004-04-03,73
2004-04-10,68
2004-04-17,74
2004-04-24,87
2004-05-01,93
2004-05-08,97
2004-05-15,100
2004-05-22,91
2004-05-29,84
2004-06-05,73
2004-06-12,56
2004-06-19,38
2004-06-26,36
2004-07-03,36
2004-07-10,38
2004-07-17,36
2004-07-24,35
2004-07-31,34
2004-08-07,36
2004-08-14,36
2004-08-21,34
2004-08-28,41
2004-09-04,42
2004-09-11,50
2004-09-18,56
2004-09-25,60
2004-10-02,63
2004-10-09,63
2004-10-16,61
2004-10-23,61
2004-10-30,66
2004-11-06,65
2004-11-13,70
2004-11-20,72
2004-11-27,58
2004-12-04,65
2004-12-11,74
2004-12-18,68
2004-12-25,45
2005-01-01,37
2005-01-08,53
2005-01-15,57
2005-01-22,55
2005-01-29,57
2005-02-05,60
2005-02-12,63
2005-02-19,62
2005-02-26,62
2005-03-05,64
2005-03-12,63
2005-03-19,65
2005-03-26,63
2005-04-02,63
2005-04-09,66
2005-04-16,74
2005-04-23,76
2005-04-30,79
2005-05-07,81
2005-05-14,82
2005-05-21,77
2005-05-28,70
2005-06-04,62
2005-06-11,52
2005-06-18,43
2005-06-25,42
2005-07-02,61
2005-07-09,53
2005-07-16,39
2005-07-23,37
2005-07-30,35
2005-08-06,35
2005-08-13,33
2005-08-20,34
2005-08-27,36
2005-09-03,36
2005-09-10,39
2005-09-17,43
2005-09-24,48
2005-10-01,52
2005-10-08,49
2005-10-15,51
2005-10-22,51
2005-10-29,53
2005-11-05,54
2005-11-12,56
2005-11-19,58
2005-11-26,49
2005-12-03,61
2005-12-10,62
2005-12-17,58
2005-12-24,45
2005-12-31,34
2006-01-07,45
2006-01-14,50
2006-01-21,50
2006-01-28,50
2006-02-04,55
2006-02-11,53
2006-02-18,55
2006-02-25,56
2006-03-04,60
2006-03-11,58
2006-03-18,58
2006-03-25,59
2006-04-01,56
2006-04-08,59
2006-04-15,55
2006-04-22,57
2006-04-29,67
2006-05-06,69
2006-05-13,68
2006-05-20,63
2006-05-27,59
2006-06-03,53
2006-06-10,45
2006-06-17,35
2006-06-24,31
2006-07-01,30
2006-07-08,30
2006-07-15,31
2006-07-22,36
2006-07-29,34
2006-08-05,33
2006-08-12,31
2006-08-19,30
2006-08-26,30
2006-09-02,32
2006-09-09,36
2006-09-16,40
2006-09-23,41
2006-09-30,43
2006-10-07,44
2006-10-14,45
2006-10-21,48
2006-10-28,50
2006-11-04,52
2006-11-11,66
2006-11-18,66
2006-11-25,56
2006-12-02,58
2006-12-09,59
2006-12-16,59
2006-12-23,47
2006-12-30,42
2007-01-06,45
2007-01-13,51
2007-01-20,47
2007-01-27,51
2007-02-03,51
2007-02-10,50
2007-02-17,50
2007-02-24,51
2007-03-03,51
2007-03-10,53
2007-03-17,58
2007-03-24,62
2007-03-31,59
2007-04-07,52
2007-04-14,54
2007-04-21,55
2007-04-28,59
2007-05-05,62
2007-05-12,64
2007-05-19,59
2007-05-26,59
2007-06-02,52
2007-06-09,45
2007-06-16,38
2007-06-23,32
2007-06-30,30
2007-07-07,32
2007-07-14,32
2007-07-21,31
2007-07-28,31
2007-08-04,30
2007-08-11,31
2007-08-18,29
2007-08-25,32
2007-09-01,34
2007-09-08,37
2007-09-15,41
2007-09-22,43
2007-09-29,50
2007-10-06,49
2007-10-13,43
2007-10-20,44
2007-10-27,44
2007-11-03,45
2007-11-10,49
2007-11-17,50
2007-11-24,43
2007-12-01,49
2007-12-08,51
2007-12-15,52
2007-12-22,46
2007-12-29,37
2008-01-05,40
2008-01-12,45
2008-01-19,44
2008-01-26,42
2008-02-02,45
2008-02-09,45
2008-02-16,45
2008-02-23,50
2008-03-01,52
2008-03-08,54
2008-03-15,51
2008-03-22,48
2008-03-29,50
2008-04-05,52
2008-04-12,53
2008-04-19,54
2008-04-26,54
2008-05-03,57
2008-05-10,59
2008-05-17,58
2008-05-24,55
2008-05-31,51
2008-06-07,42
2008-06-14,37
2008-06-21,33
2008-06-28,33
2008-07-05,34
2008-07-12,32
2008-07-19,32
2008-07-26,33
2008-08-02,31
2008-08-09,32
2008-08-16,33
2008-08-23,32
2008-08-30,33
2008-09-06,37
2008-09-13,38
2008-09-20,40
2008-09-27,43
2008-10-04,42
2008-10-11,46
2008-10-18,49
2008-10-25,47
2008-11-01,50
2008-11-08,61
2008-11-15,76
2008-11-22,63
2008-11-29,57
2008-12-06,57
2008-12-13,57
2008-12-20,52
2008-12-27,47
2009-01-03,46
2009-01-10,49
2009-01-17,48
2009-01-24,47
2009-01-31,47
2009-02-07,48
2009-02-14,49
2009-02-21,51
2009-02-28,55
2009-03-07,54
2009-03-14,54
2009-03-21,51
2009-03-28,52
2009-04-04,52
2009-04-11,47
2009-04-18,51
2009-04-25,54
2009-05-02,54
2009-05-09,57
2009-05-16,55
2009-05-23,54
2009-05-30,51
2009-06-06,46
2009-06-13,40
2009-06-20,36
2009-06-27,31
2009-07-04,32
2009-07-11,32
2009-07-18,31
2009-07-25,33
2009-08-01,32
2009-08-08,32
2009-08-15,31
2009-08-22,31
2009-08-29,31
2009-09-05,34
2009-09-12,36
2009-09-19,37
2009-09-26,39
2009-10-03,39
2009-10-10,40
2009-10-17,40
2009-10-24,41
2009-10-31,43
2009-11-07,42
2009-11-14,47
2009-11-21,47
2009-11-28,41
2009-12-05,50
2009-12-12,51
2009-12-19,47
2009-12-26,36
2010-01-02,33
2010-01-09,38
2010-01-16,42
2010-01-23,39
2010-01-30,40
2010-02-06,41
2010-02-13,41
2010-02-20,42
2010-02-27,46
2010-03-06,48
2010-03-13,50
2010-03-20,55
2010-03-27,55
2010-04-03,49
2010-04-10,48
2010-04-17,53
2010-04-24,53
2010-05-01,53
2010-05-08,55
2010-05-15,54
2010-05-22,52
2010-05-29,50
2010-06-05,46
2010-06-12,40
2010-06-19,35
2010-06-26,34
2010-07-03,32
2010-07-10,30
2010-07-17,29
2010-07-24,30
2010-07-31,31
2010-08-07,29
2010-08-14,28
2010-08-21,29
2010-08-28,28
2010-09-04,31
2010-09-11,31
2010-09-18,32
2010-09-25,32
2010-10-02,34
2010-10-09,35
2010-10-16,34
2010-10-23,35
2010-10-30,36
2010-11-06,37
2010-11-13,40
2010-11-20,39
2010-11-27,37
2010-12-04,41
2010-12-11,42
2010-12-18,40
2010-12-25,33
2011-01-01,30
2011-01-08,36
2011-01-15,41
2011-01-22,37
2011-01-29,38
2011-02-05,39
2011-02-12,39
2011-02-19,41
2011-02-26,42
2011-03-05,44
2011-03-12,43
2011-03-19,41
2011-03-26,48
2011-04-02,44
2011-04-09,46
2011-04-16,51
2011-04-23,46
2011-04-30,49
2011-05-07,50
2011-05-14,47
2011-05-21,48
2011-05-28,44
2011-06-04,44
2011-06-11,37
2011-06-18,35
2011-06-25,31
2011-07-02,30
2011-07-09,32
2011-07-16,28
2011-07-23,29
2011-07-30,29
2011-08-06,28
2011-08-13,29
2011-08-20,30
2011-08-27,31
2011-09-03,31
2011-09-10,35
2011-09-17,39
2011-09-24,53
2011-10-01,46
2011-10-08,42
2011-10-15,41
2011-10-22,42
2011-10-29,39
2011-11-05,41
2011-11-12,44
2011-11-19,39
2011-11-26,38
2011-12-03,40
2011-12-10,44
2011-12-17,46
2011-12-24,39
2011-12-31,39
2012-01-07,37
2012-01-14,39
2012-01-21,38
2012-01-28,39
2012-02-04,39
2012-02-11,40
2012-02-18,42
2012-02-25,41
2012-03-03,43
2012-03-10,42
2012-03-17,39
2012-03-24,40
2012-03-31,39
2012-04-07,38
2012-04-14,38
2012-04-21,42
2012-04-28,44
2012-05-05,47
2012-05-12,44
2012-05-19,43
2012-05-26,41
2012-06-02,41
2012-06-09,36
2012-06-16,32
2012-06-23,28
2012-06-30,27
2012-07-07,28
2012-07-14,28
2012-07-21,27
2012-07-28,27
2012-08-04,24
2012-08-11,25
2012-08-18,26
2012-08-25,27
2012-09-01,28
2012-09-08,30
2012-09-15,32
2012-09-22,33
2012-09-29,35
2012-10-06,33
2012-10-13,32
2012-10-20,33
2012-10-27,34
2012-11-03,31
2012-11-10,40
2012-11-17,43
2012-11-24,38
2012-12-01,38
2012-12-08,40
2012-12-15,41
2012-12-22,36
2012-12-29,28
2013-01-05,32
2013-01-12,35
2013-01-19,37
2013-01-26,37
2013-02-02,37
2013-02-09,40
2013-02-16,38
2013-02-23,37
2013-03-02,42
2013-03-09,44
2013-03-16,48
2013-03-23,49
2013-03-30,43
2013-04-06,47
2013-04-13,47
2013-04-20,45
2013-04-27,43
2013-05-04,45
2013-05-11,43
2013-05-18,43
2013-05-25,41
2013-06-01,44
2013-06-08,40
2013-06-15,35
2013-06-22,46
2013-06-29,43
2013-07-06,38
2013-07-13,30
2013-07-20,27
2013-07-27,27
2013-08-03,27
2013-08-10,26
2013-08-17,26
2013-08-24,28
2013-08-31,37
2013-09-07,44
2013-09-14,39
2013-09-21,39
2013-09-28,35
2013-10-05,34
2013-10-12,34
2013-10-19,33
2013-10-26,34
2013-11-02,34
2013-11-09,35
2013-11-16,38
2013-11-23,37
2013-11-30,31
2013-12-07,37
2013-12-14,38
2013-12-21,35
